row_label_raw,row_label_full,TT,Tên đơn vị,Giá trị mua trong kỳ > Nội dung,Giá trị mua trong kỳ > Giá trị,Giá trị bản trong kỳ > Nội dung,Giá trị bản trong kỳ > Giá trị,numeric__Tên đơn vị,numeric__Giá trị mua trong kỳ > Nội dung,numeric__Giá trị mua trong kỳ > Giá trị,numeric__Giá trị bản trong kỳ > Nội dung,numeric__Giá trị bản trong kỳ > Giá trị
A,A,A,B,1,2,3,4,,1.0,2.0,3.0,4.0
1,1,1,Công ty CP VLXD và kinh doanh tổng hợp-VVMI,"Vật tư, hàng hóa",12.322.548.000,,-,,,12322548000.0,,
2,2,2,Công ty kho vận và cáng cẩm phá VINACOMIN,Mua Than,3.619.394.043.213,Than,164.797.536.510,,,3619394043213.0,,164797536510.0
3,3,3,Tổng công ty công nghiệp hóa chất mỏ - VINACOMIN,Hóa chất,10.748.002.540,,-,,,10748002540.0,,
4,4,4,Công ty CP công nghiệp ô tô - Vinacomin,Vật tư,1.667.233.903,,-,,,1667233903.0,,
5,5,5,Bệnh viện Than - Khoáng sản,Dịch vụ,461.880.210,,-,,,461880210.0,,
6,6,6,Chi nhánh Công ty CP vật tư - TKV,Vật tư,35.796.404.909,Vật tư,1.221.439,,,35796404909.0,,1221439.0
7,7,7,Viện cơ khí năng lượng và mỏ - Vinacomin,"Vật tư, dịch vụ",2.851.869.000,,-,,,2851869000.0,,
8,8,8,Công ty than Núi Hồng - VVMI,,-,Bán điện,340.032.442,,,,,340032442.0
9,9,9,Công ty CP Xỉ măng Quán Triều VVMI,,-,Bán điện,301.149.300,,,,,301149300.0
10,10,10,Công ty tư vấn quản lý dự án - Vinacomin,Dịch vụ,215.454.545,,-,,,215454545.0,,
11,11,11,Trường quản trị kinh doanh - Vinacomin,Dịch vụ,926.208.056,,-,,,926208056.0,,
12,12,12,Trung tâm Y tế than khu vực Mạo Khê,Dịch vụ,109.113.000,,-,,,109113000.0,,
13,13,13,Công ty kho vận đá bạc - Vinacomin,Than,2.067.881.353.793,,-,,,2067881353793.0,,
14,14,14,Công ty TNHH MTV môi trường - TKV,"Vật tư, hàng hóa",21.419.756.479,"Vật tư, hàng hóa",440.243.560,,,21419756479.0,,440243560.0
15,15,15,Công ty CP cơ điện Uông Bí - Vinacomin,Dịch vụ,-,,-,,,,,
