row_label_raw,row_label_full,col_0,Than VND,Diện VND,Khác VND,Tổng cộng VND,numeric__Than VND,numeric__Diện VND,numeric__Khác VND,numeric__Tổng cộng VND
Từ ngày 15/01/2016 đến ngày 31/12/2016,Từ ngày 15/01/2016 đến ngày 31/12/2016,Từ ngày 15/01/2016 đến ngày 31/12/2016,Từ ngày 15/01/2016 đến ngày 31/12/2016,Từ ngày 15/01/2016 đến ngày 31/12/2016,Từ ngày 15/01/2016 đến ngày 31/12/2016,Từ ngày 15/01/2016 đến ngày 31/12/2016,,,,
Doanh thu,Từ ngày 15/01/2016 đến ngày 31/12/2016 > Doanh thu,Doanh thu,50.270.312.917,4.573.380.450.138,20.779.310.168,4.644.430.073.223,50270312917.0,4573380450138.0,20779310168.0,4644430073223.0
Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,-,-,-,-,,,,
Giá vốn hàng bán,Các khoản giảm trừ > Giá vốn hàng bán,Giá vốn hàng bán,39.308.806.383,3.953.996.956.023,18.486.671.616,4.011.792.434.022,39308806383.0,3953996956023.0,18486671616.0,4011792434022.0
Lợi nhuận gộp,Các khoản giảm trừ > Lợi nhuận gộp,Lợi nhuận gộp,10.961.506.534,619.383.494.115,2.292.638.552,632.637.639.201,10961506534.0,619383494115.0,2292638552.0,632637639201.0
Năm 2017,Năm 2017,Năm 2017,Năm 2017,Năm 2017,Năm 2017,Năm 2017,,,,
Doanh thu,Năm 2017 > Doanh thu,Doanh thu,164.797.536.510,10.871.735.989.194,116.182.834.989,11.152.716.360.693,164797536510.0,10871735989194.0,116182834989.0,11152716360693.0
Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,-,-,-,-,,,,
Giá vốn hàng bán,Các khoản giảm trừ > Giá vốn hàng bán,Giá vốn hàng bán,84.300.519.901,9.218.680.809.132,108.402.476.597,9.411.383.805.630,84300519901.0,9218680809132.0,108402476597.0,9411383805630.0
Lợi nhuận gộp,Các khoản giảm trừ > Lợi nhuận gộp,Lợi nhuận gộp,80.497.016.609,1.653.055.180.062,7.780.358.392,1.741.332.555.063,80497016609.0,1653055180062.0,7780358392.0,1741332555063.0
