row_label_raw,row_label_full,col_0,Giá trị ghi số > 31/12/2017,Giá trị ghi số > 01/01/2017,Giá trị hợp lý > 31/12/2017,Giá trị hợp lý > 01/01/2017,numeric__Giá trị ghi số > 31/12/2017,numeric__Giá trị ghi số > 01/01/2017,numeric__Giá trị hợp lý > 31/12/2017,numeric__Giá trị hợp lý > 01/01/2017
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Các khoản đầu tư nắm giữ đến ngày đáo hạn,Các khoản đầu tư nắm giữ đến ngày đáo hạn,Các khoản đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,
Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,,,,,,,,
Phải thu khách hàng,Các khoản cho vay và phải thu > Phải thu khách hàng,Phải thu khách hàng,2.277.995.125.129,1.832.575.830.816,2.272.456.404.478,1.827.346.783.906,2277995125129.0,1832575830816.0,2272456404478.0,1827346783906.0
Các khoản PT khác,Các khoản cho vay và phải thu > Các khoản PT khác,Các khoản PT khác,33.760.178.086,146.562.234.409,158.293.081.150,146.562.234.409,33760178086.0,146562234409.0,158293081150.0,146562234409.0
Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,,,,,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính sẵn sàng để bán > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,103.747.498.151,350.352.719.847,103.747.498.151,350.352.719.847,103747498151.0,350352719847.0,103747498151.0,350352719847.0
Tổng cộng,Tài sản tài chính sẵn sàng để bán > Tổng cộng,Tổng cộng,2.415.502.801.366,2.329.490.785.072,2.534.496.983.779,2.324.261.738.162,2415502801366.0,2329490785072.0,2534496983779.0,2324261738162.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,14.661.018.190.847,17.374.008.186.222,14.661.018.190.847,17.374.008.186.222,14661018190847.0,17374008186222.0,14661018190847.0,17374008186222.0
Phải trả người bán,Nợ phải trả tài chính > Phải trả người bán,Phải trả người bán,2.517.021.021.431,2.275.233.049.975,2.517.021.021.431,2.275.233.049.975,2517021021431.0,2275233049975.0,2517021021431.0,2275233049975.0
Phải trả khác,Nợ phải trả tài chính > Phải trả khác,Phải trả khác,39.509.528.569,428.813.700.100,39.509.528.569,428.813.700.100,39509528569.0,428813700100.0,39509528569.0,428813700100.0
Tổng cộng,Nợ phải trả tài chính > Tổng cộng,Tổng cộng,17.217.548.740.847,20.078.054.936.297,17.217.548.740.847,20.078.054.936.297,17217548740847.0,20078054936297.0,17217548740847.0,20078054936297.0
