row_label_raw,row_label_full,(i) Phải thu khác tại ngày 31/12/2017 bao gồm:,31/12/2017(VND),numeric__31/12/2017(VND)
Phải thu tiền vật tư nhà thầu SEFCO,Phải thu tiền vật tư nhà thầu SEFCO,Phải thu tiền vật tư nhà thầu SEFCO,4.535.277.832,4535277832.0
Thuế nhập khẩu thiết bị nộp hộ nhà thầu,Thuế nhập khẩu thiết bị nộp hộ nhà thầu,Thuế nhập khẩu thiết bị nộp hộ nhà thầu,1.945.463.773,1945463773.0
Tiền giải phóng mặt bằng-TT phát triển quỹ đất huyện Đắk R'Lắp,Tiền giải phóng mặt bằng-TT phát triển quỹ đất huyện Đắk R'Lắp,Tiền giải phóng mặt bằng-TT phát triển quỹ đất huyện Đắk R'Lắp,1.420.905.880,1420905880.0
Công ty cổ phần Đầu tư và Xây dựng - VVMI,Công ty cổ phần Đầu tư và Xây dựng - VVMI,Công ty cổ phần Đầu tư và Xây dựng - VVMI,1.000.000.000,1000000000.0
Công ty TNHH một thành viên Môi trường - TKV,Công ty TNHH một thành viên Môi trường - TKV,Công ty TNHH một thành viên Môi trường - TKV,1.250.000.000,1250000000.0
Ngân hàng Xuất nhập khẩu Việt Nam,Ngân hàng Xuất nhập khẩu Việt Nam,Ngân hàng Xuất nhập khẩu Việt Nam,1.442.269.753,1442269753.0
Các khoản khác,Các khoản khác,Các khoản khác,9.553.569.670,9553569670.0
Cộng,Cộng,Cộng,21.147.486.908,21147486908.0
