row_label_raw,row_label_full,"Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi: > Dưới 3 năm",31/12/2017(VND) > Giá gốc > 5.615.344.451 > 3.608.451,31/12/2017(VND) > Giá trị có thể thu hồi > 76.623.800 > -,01/01/2017(VND) > Giá gốc > 5.229.046.910 > 8.666.352,01/01/2017(VND) > Giá trị có thể thu hồi > -,numeric__31/12/2017(VND) > Giá gốc > 5.615.344.451 > 3.608.451,numeric__31/12/2017(VND) > Giá trị có thể thu hồi > 76.623.800 > -,numeric__01/01/2017(VND) > Giá gốc > 5.229.046.910 > 8.666.352,numeric__01/01/2017(VND) > Giá trị có thể thu hồi > -
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,3.608.451,-,8.666.352,-,3608451.0,,8666352.0,
Từ 3 năm trở lên,Từ 3 năm trở lên,Từ 3 năm trở lên,5.368.438.000,-,5.220.380.558,-,5368438000.0,,5220380558.0,
Điện lực Thái Nguyên,Điện lực Thái Nguyên,Điện lực Thái Nguyên,13.621.000,-,13.621.000,-,13621000.0,,13621000.0,
Vụ Năng lượng - Bộ Công Thương,Vụ Năng lượng - Bộ Công Thương,Vụ Năng lượng - Bộ Công Thương,42.110.000,-,42.110.000,-,42110000.0,,42110000.0,
Công ty CP Dịch vụ thương mại Á Châu,Công ty CP Dịch vụ thương mại Á Châu,Công ty CP Dịch vụ thương mại Á Châu,234.448.000,,86.390.558,,234448000.0,,86390558.0,
Công ty Cổ phần xây dựng số 18,Công ty Cổ phần xây dựng số 18,Công ty Cổ phần xây dựng số 18,5.005.599.000,-,5.005.599.000,-,5005599000.0,,5005599000.0,
"Trung tâm nghiên cứu, TK ứng dụng CN mới","Trung tâm nghiên cứu, TK ứng dụng CN mới","Trung tâm nghiên cứu, TK ứng dụng CN mới",72.660.000,-,72.660.000,-,72660000.0,,72660000.0,
Từ 2 đến 3 năm,Từ 2 đến 3 năm,Từ 2 đến 3 năm,225.126.000,67.537.800,,,225126000.0,67537800.0,,
Công ty TNHH Dịch vụ & Thương mại Á Châu,Công ty TNHH Dịch vụ & Thương mại Á Châu,Công ty TNHH Dịch vụ & Thương mại Á Châu,225.126.000,67.537.800,,,225126000.0,67537800.0,,
Từ 1 đến 2 năm,Từ 1 đến 2 năm,Từ 1 đến 2 năm,18.172.000,9.086.000,,,18172000.0,9086000.0,,
Công ty CP SX và TM Nhất Thành Phát,Công ty CP SX và TM Nhất Thành Phát,Công ty CP SX và TM Nhất Thành Phát,18.172.000,9.086.000,,,18172000.0,9086000.0,,
