row_label_raw,row_label_full,Ngày 31/12/2017 > Giá trị ghi sổ:,Dưới 1 năm > Ngày 31/12/2017 > Giá trị ghi sổ:,Từ 1 năm trở lên > Ngày 31/12/2017 > Giá trị ghi sổ:,Tổng cộng > Ngày 31/12/2017 > Giá trị ghi sổ:,numeric__Dưới 1 năm > Ngày 31/12/2017 > Giá trị ghi sổ:,numeric__Từ 1 năm trở lên > Ngày 31/12/2017 > Giá trị ghi sổ:,numeric__Tổng cộng > Ngày 31/12/2017 > Giá trị ghi sổ:
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,103.747.498.151,-,103.747.498.151,103747498151.0,,103747498151.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,2.277.995.125.129,-,2.277.995.125.129,2277995125129.0,,2277995125129.0
Đầu tư,Đầu tư,Đầu tư,-,1.096.124.960.279,1.096.124.960.279,,1096124960279.0,1096124960279.0
Phải thu khác,Phải thu khác,Phải thu khác,26.105.436.708,7.654.741.378,33.760.178.086,26105436708.0,7654741378.0,33760178086.0
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,-,-,-,,,
Trừ:,Trừ:,Trừ:,Trừ:,Trừ:,Trừ:,,,
Dự phòng phải thu khó đòi,Trừ: > Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,(5.538.720.651),-,(5.538.720.651),-5538720651.0,,-5538720651.0
Dự phòng giảm giá các khoản đầu tư,Trừ: > Dự phòng giảm giá các khoản đầu tư,Dự phòng giảm giá các khoản đầu tư,-,(86.011.435.800),(86.011.435.800),,-86011435800.0,-86011435800.0
Tổng cộng,Trừ: > Tổng cộng,Tổng cộng,2.402.309.339.337,1.017.768.265.857,3.420.077.605.194,2402309339337.0,1017768265857.0,3420077605194.0
Ngày 31/12/2017,Ngày 31/12/2017,Ngày 31/12/2017,Ngày 31/12/2017,Ngày 31/12/2017,Ngày 31/12/2017,,,
Các khoản vay và nợ,Ngày 31/12/2017 > Các khoản vay và nợ,Các khoản vay và nợ,3.152.519.302.067,11.508.498.888.780,14.661.018.190.847,3152519302067.0,11508498888780.0,14661018190847.0
Phải trả người bán,Ngày 31/12/2017 > Phải trả người bán,Phải trả người bán,1.891.589.783.679,625.431.237.752,2.517.021.021.431,1891589783679.0,625431237752.0,2517021021431.0
"Phải trả, PN khác và chi phí phải trả","Ngày 31/12/2017 > Phải trả, PN khác và chi phí phải trả","Phải trả, PN khác và chi phí phải trả",39.509.528.569,-,39.509.528.569,39509528569.0,,39509528569.0
Tổng cộng,Ngày 31/12/2017 > Tổng cộng,Tổng cộng,5.083.618.614.315,12.133.930.126.532,17.217.548.740.847,5083618614315.0,12133930126532.0,17217548740847.0
Chênh lệch thanh khoản thuần,Ngày 31/12/2017 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,(2.681.309.274.978),(11.116.161.860.675),(13.797.471.135.653),-2681309274978.0,-11116161860675.0,-13797471135653.0
