row_label_raw,row_label_full,Chỉ tiêu,"Nhà cửa,vật kiến trúc > Triệu VND","Máy móc,thiết bị > Triệu VND",Phương tiệnvận tải > Triệu VND,Thiết bị dụng cụquản lý > Triệu VND,Cộng > Triệu VND,"numeric__Nhà cửa,vật kiến trúc > Triệu VND","numeric__Máy móc,thiết bị > Triệu VND",numeric__Phương tiệnvận tải > Triệu VND,numeric__Thiết bị dụng cụquản lý > Triệu VND,numeric__Cộng > Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,67.551,135.361,88.923,46.898,338.733,67551.0,135361.0,88923.0,46898.0,338733.0
- Mua sắm trong năm,Nguyên giá > - Mua sắm trong năm,- Mua sắm trong năm,796,32.447,7.611,3.752,44.606,796.0,32447.0,7611.0,3752.0,44606.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(352),(117),(544),(2.734),(3.747),-352.0,-117.0,-544.0,-2734.0,-3747.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,67.995,167.691,95.990,47.916,379.592,67995.0,167691.0,95990.0,47916.0,379592.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,31.466,92.195,43.790,40.713,208.164,31466.0,92195.0,43790.0,40713.0,208164.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,2.668,13.489,7.758,2.436,26.351,2668.0,13489.0,7758.0,2436.0,26351.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(136),(71),(543),(2.427),(3.177),-136.0,-71.0,-543.0,-2427.0,-3177.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,33.998,105.613,51.005,40.722,231.338,33998.0,105613.0,51005.0,40722.0,231338.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,36.086,43.166,45.132,6.185,130.569,36086.0,43166.0,45132.0,6185.0,130569.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,33.997,62.078,44.985,7.194,148.254,33997.0,62078.0,44985.0,7194.0,148254.0
