row_label_raw,row_label_full,Ông Phạm Hồng Công,Trường ban,numeric__Trường ban
Ông Thái Đình Long,Ông Thái Đình Long,Ông Thái Đình Long,Thành viên,
Bà Truong Thị Kim Thư,Bà Truong Thị Kim Thư,Bà Truong Thị Kim Thư,Thành viên,
