row_label_raw,row_label_full,Thuyết minh theo loại tiền gửi:,Thuyết minh theo loại tiền gửi: > 31/12/2020,Thuyết minh theo loại tiền gửi: > 31/12/2019,numeric__Thuyết minh theo loại tiền gửi: > 31/12/2020,numeric__Thuyết minh theo loại tiền gửi: > 31/12/2019
,,,Triệu VND,Triệu VND,,
"Tiền, vàng gửi không kỳ hạn","Tiền, vàng gửi không kỳ hạn","Tiền, vàng gửi không kỳ hạn",1.411.433,1.358.589,1411433.0,1358589.0
- Bằng VND,- Bằng VND,- Bằng VND,1.402.641,1.335.970,1402641.0,1335970.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,8.792,22.619,8792.0,22619.0
"Tiền, vàng gửi có kỳ hạn","Tiền, vàng gửi có kỳ hạn","Tiền, vàng gửi có kỳ hạn",85.107.619,74.848.107,85107619.0,74848107.0
- Bằng VND,- Bằng VND,- Bằng VND,85.011.038,74.762.923,85011038.0,74762923.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,96.581,85.184,96581.0,85184.0
Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,699,3.481,699.0,3481.0
Tiền gửi ký quỹ,Tiền gửi ký quỹ,Tiền gửi ký quỹ,45.225,65.363,45225.0,65363.0
- Bằng VND,- Bằng VND,- Bằng VND,45.211,65.349,45211.0,65349.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,14,14,14.0,14.0
,,,86.564.976,76.275.540,86564976.0,76275540.0
"18 . Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro","18 . Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro","18 . Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro","18 . Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro","18 . Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro",,
,,,31/12/2020,31/12/2019,,
,,,Triệu VND,Triệu VND,,
Bằng VND,"18 . Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro > Bằng VND",Bằng VND,3.120,5.587,3120.0,5587.0
,,,3.120,5.587,3120.0,5587.0
