row_label_raw,row_label_full,Chỉ tiêu,Chỉ tiêu_1,Quá hạn,Không chịu lãi,Thay đổi lãi suất trong khoảng thời gian > Dưới 01 tháng,Thay đổi lãi suất trong khoảng thời gian > Từ 01 đến 03 tháng,Thay đổi lãi suất trong khoảng thời gian > Từ trên 03 đến 06 tháng,Thay đổi lãi suất trong khoảng thời gian > Từ trên 06 đến 12 tháng,Thay đổi lãi suất trong khoảng thời gian > Từ trên 01 đến 05 năm,Thay đổi lãi suất trong khoảng thời gian > Trên 05 năm,Tổng,numeric__Chỉ tiêu_1,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Thay đổi lãi suất trong khoảng thời gian > Dưới 01 tháng,numeric__Thay đổi lãi suất trong khoảng thời gian > Từ 01 đến 03 tháng,numeric__Thay đổi lãi suất trong khoảng thời gian > Từ trên 03 đến 06 tháng,numeric__Thay đổi lãi suất trong khoảng thời gian > Từ trên 06 đến 12 tháng,numeric__Thay đổi lãi suất trong khoảng thời gian > Từ trên 01 đến 05 năm,numeric__Thay đổi lãi suất trong khoảng thời gian > Trên 05 năm,numeric__Tổng
,,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,,,,,
I,TÀI SẢN > I,I,"Tiền mặt, vàng bạc, đá quý",-,638.123,-,-,-,-,-,-,638.123,,,638123.0,,,,,,,638123.0
II,TÀI SẢN > II,II,Tiền gửi tại NHNN,-,-,730.267,-,-,-,-,-,730.267,,,,730267.0,,,,,,730267.0
III,TÀI SẢN > III,III,"Tiền, vàng gửi và cho vay các TCTD khác (*)",-,-,4.803.139,6.975.240,,-,-,600.996,12.379.375,,,,4803139.0,6975240.0,,,,600996.0,12379375.0
IV,TÀI SẢN > IV,IV,Chứng khoán kinh doanh (*),-,-,136.500,-,-,100.000,7.600.000,-,7.836.500,,,,136500.0,,,100000.0,7600000.0,,7836500.0
V,TÀI SẢN > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),-,-,9.739,-,-,-,-,-,9.739,,,,9739.0,,,,,,9739.0
VI,TÀI SẢN > VI,VI,Cho vay khách hàng (*),672.410,-,6.417.115,2.139.038,12.477.724,13.944.352,14.393.929,29.395.855,79.440.423,,672410.0,,6417115.0,2139038.0,12477724.0,13944352.0,14393929.0,29395855.0,79440423.0
VII,TÀI SẢN > VII,VII,Chứng khoán đầu tư (*),-,-,-,-,-,-,8.683.867,4.548.578,13.232.445,,,,,,,,8683867.0,4548578.0,13232445.0
VIII,TÀI SẢN > VIII,VIII,"Góp vốn, đầu tư dài hạn (*)",-,322.660,-,-,-,-,-,-,322.660,,,322660.0,,,,,,,322660.0
IX,TÀI SẢN > IX,IX,Tài sản cố định,-,722.039,-,-,-,-,-,-,722.039,,,722039.0,,,,,,,722039.0
X,TÀI SẢN > X,X,Tài sản có khác (*),-,2.832.675,-,-,-,-,-,-,2.832.675,,,2832675.0,,,,,,,2832675.0
Tổng tài sản,TÀI SẢN > Tổng tài sản,Tổng tài sản,Tổng tài sản,672.410,4.515.497,12.096.760,9.114.278,12.477.724,14.044.352,30.677.796,34.545.429,118.144.246,,672410.0,4515497.0,12096760.0,9114278.0,12477724.0,14044352.0,30677796.0,34545429.0,118144246.0
