row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2020 > Triệu VND,31/12/2019 > Triệu VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2020 > Triệu VND,numeric__31/12/2019 > Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,15,147.537,196.047,,15.0,147537.0,196047.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,16,13.231.963,14.658.448,,16.0,13231963.0,14658448.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,13.231.030,13.067.379,,,13231030.0,13067379.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,933,1.591.069,,,933.0,1591069.0
III,B > III,III,Tiền gửi của khách hàng,17,86.564.976,76.275.540,,17.0,86564976.0,76275540.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",18,3.120,5.587,,18.0,3120.0,5587.0
VI,B > VI,VI,Phát hành giấy tờ có giá,19,5.889.835,6.134.254,,19.0,5889835.0,6134254.0
VII,B > VII,VII,Các khoản nợ khác,,3.113.443,2.900.651,,,3113443.0,2900651.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,2.734.731,2.616.654,,,2734731.0,2616654.0
3,B > 3,3,Các khoản phải trả và công nợ khác,20,378.712,283.997,,20.0,378712.0,283997.0
,,,TỔNG NỘ PHẢI TRẢ,,108.950.874,100.170.527,,,108950874.0,100170527.0
VIII,B > VIII,VIII,Vốn chủ sở hữu,21,8.351.550,7.805.595,,21.0,8351550.0,7805595.0
1,B > 1,1,Vốn của tổ chức tín dụng,,7.092.398,6.507.398,,,7092398.0,6507398.0
\( a \),B > \( a \),\( a \),Vốn điều lệ,,7.085.000,6.500.000,,,7085000.0,6500000.0
\( c \),B > \( c \),\( c \),Thặng dư vốn cổ phần,,7.398,7.398,,,7398.0,7398.0
2,B > 2,2,Quỹ của tổ chức tín dụng,,598.482,486.509,,,598482.0,486509.0
5,B > 5,5,Lợi nhuận chưa phân phối,,660.670,811.688,,,660670.0,811688.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,117.302.424,107.976.122,,,117302424.0,107976122.0
