row_label_raw,row_label_full,col_0,Dự phòng chungTriệu VND,Dự phòng cụ thểTriệu VND,numeric__Dự phòng chungTriệu VND,numeric__Dự phòng cụ thểTriệu VND
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,
Số dư đầu năm,Năm trước > Số dư đầu năm,Số dư đầu năm,(471.284),(122.395),-471284.0,-122395.0
Dự phòng rủi ro trích lập trong năm,Năm trước > Dự phòng rủi ro trích lập trong năm,Dự phòng rủi ro trích lập trong năm,(62.542),(2.489),-62542.0,-2489.0
Hoàn nhập dự phòng trong năm,Năm trước > Hoàn nhập dự phòng trong năm,Hoàn nhập dự phòng trong năm,583,1.257,583.0,1257.0
Sử dụng dự phòng rủi ro tín dụng trong năm,Năm trước > Sử dụng dự phòng rủi ro tín dụng trong năm,Sử dụng dự phòng rủi ro tín dụng trong năm,-,2.125,,2125.0
Số dư cuối năm,Năm trước > Số dư cuối năm,Số dư cuối năm,(533.243),(121.502),-533243.0,-121502.0
10 . Chứng khoán đầu tư,10 . Chứng khoán đầu tư,10 . Chứng khoán đầu tư,10 . Chứng khoán đầu tư,10 . Chứng khoán đầu tư,,
10.1 . Chứng khoán đầu tư sẵn sàng để bán,10.1 . Chứng khoán đầu tư sẵn sàng để bán,10.1 . Chứng khoán đầu tư sẵn sàng để bán,10.1 . Chứng khoán đầu tư sẵn sàng để bán,10.1 . Chứng khoán đầu tư sẵn sàng để bán,,
,,,31/12/2020,31/12/2019,,
,,,Triệu VND,Triệu VND,,
Chứng khoán Nợ,10.1 . Chứng khoán đầu tư sẵn sàng để bán > Chứng khoán Nợ,Chứng khoán Nợ,13.232.445,14.636.506,13232445.0,14636506.0
"- Chứng khoán Chính phủ, chính quyền địa phương","10.1 . Chứng khoán đầu tư sẵn sàng để bán > - Chứng khoán Chính phủ, chính quyền địa phương","- Chứng khoán Chính phủ, chính quyền địa phương",8.254.249,8.266.224,8254249.0,8266224.0
- Chứng khoán Nợ do các TCTD khác trong nước phát hành,10.1 . Chứng khoán đầu tư sẵn sàng để bán > - Chứng khoán Nợ do các TCTD khác trong nước phát hành,- Chứng khoán Nợ do các TCTD khác trong nước phát hành,4.978.196,6.370.282,4978196.0,6370282.0
Dự phòng rủi ro chứng khoán sẵn sàng để bán,10.1 . Chứng khoán đầu tư sẵn sàng để bán > Dự phòng rủi ro chứng khoán sẵn sàng để bán,Dự phòng rủi ro chứng khoán sẵn sàng để bán,(13.875),(7.125),-13875.0,-7125.0
- Dự phòng chung,10.1 . Chứng khoán đầu tư sẵn sàng để bán > - Dự phòng chung,- Dự phòng chung,(13.875),(7.125),-13875.0,-7125.0
,,,13.218.570,14.629.381,13218570.0,14629381.0
10.2 . Trái phiếu đặc biệt do VAMC phát hành,10.2 . Trái phiếu đặc biệt do VAMC phát hành,10.2 . Trái phiếu đặc biệt do VAMC phát hành,10.2 . Trái phiếu đặc biệt do VAMC phát hành,10.2 . Trái phiếu đặc biệt do VAMC phát hành,,
,,,31/12/2020,31/12/2019,,
,,,Triệu VND,Triệu VND,,
Mệnh giá trái phiếu đặc biệt,10.2 . Trái phiếu đặc biệt do VAMC phát hành > Mệnh giá trái phiếu đặc biệt,Mệnh giá trái phiếu đặc biệt,-,473.078,,473078.0
Dự phòng trái phiếu đặc biệt,10.2 . Trái phiếu đặc biệt do VAMC phát hành > Dự phòng trái phiếu đặc biệt,Dự phòng trái phiếu đặc biệt,-,(372.595),,-372595.0
,,,-,100.483,,100483.0
Tổng chứng khoán đầu tư,10.2 . Trái phiếu đặc biệt do VAMC phát hành > Tổng chứng khoán đầu tư,Tổng chứng khoán đầu tư,13.218.570,14.729.864,13218570.0,14729864.0
10.3 . Phân tích chất lượng chứng khoán được phân loại là tài sản có rủi ro tín dụng,10.3 . Phân tích chất lượng chứng khoán được phân loại là tài sản có rủi ro tín dụng,10.3 . Phân tích chất lượng chứng khoán được phân loại là tài sản có rủi ro tín dụng,10.3 . Phân tích chất lượng chứng khoán được phân loại là tài sản có rủi ro tín dụng,10.3 . Phân tích chất lượng chứng khoán được phân loại là tài sản có rủi ro tín dụng,,
,,,31/12/2020,31/12/2019,,
,,,Triệu VND,Triệu VND,,
Nợ đủ tiêu chuẩn,10.3 . Phân tích chất lượng chứng khoán được phân loại là tài sản có rủi ro tín dụng > Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,4.978.196,6.370.282,4978196.0,6370282.0
,,,4.978.196,6.370.282,4978196.0,6370282.0
"11 . Góp vốn, đầu tư dài hạn","11 . Góp vốn, đầu tư dài hạn","11 . Góp vốn, đầu tư dài hạn","11 . Góp vốn, đầu tư dài hạn","11 . Góp vốn, đầu tư dài hạn",,
,,,31/12/2020,31/12/2019,,
,,,Triệu VND,Triệu VND,,
Đầu tư vào công ty con,"11 . Góp vốn, đầu tư dài hạn > Đầu tư vào công ty con",Đầu tư vào công ty con,127.000,127.000,127000.0,127000.0
Các khoản đầu tư dài hạn khác,"11 . Góp vốn, đầu tư dài hạn > Các khoản đầu tư dài hạn khác",Các khoản đầu tư dài hạn khác,195.660,270.660,195660.0,270660.0
Dự phòng giảm giá đầu tư dài hạn,"11 . Góp vốn, đầu tư dài hạn > Dự phòng giảm giá đầu tư dài hạn",Dự phòng giảm giá đầu tư dài hạn,(6.164),(10.924),-6164.0,-10924.0
,,,316.496,386.736,316496.0,386736.0
