row_label_raw,row_label_full,col_0,Tỷ lệ,Số tiền,numeric__Tỷ lệ,numeric__Số tiền
,,,%,Triệu VND,,
Lợi nhuận sau thuế năm 2019,Lợi nhuận sau thuế năm 2019,Lợi nhuận sau thuế năm 2019,,746.487,,746487.0
Trích các Quỹ,Trích các Quỹ,Trích các Quỹ,"18,75",139.973,18.75,139973.0
- Quỹ dự trữ bó sung vốn điều lệ,- Quỹ dự trữ bó sung vốn điều lệ,- Quỹ dự trữ bó sung vốn điều lệ,"5,00",37.324,5.0,37324.0
- Quỹ dự phòng tài chính,- Quỹ dự phòng tài chính,- Quỹ dự phòng tài chính,"10,00",74.649,10.0,74649.0
- Quỹ phúc lợi,- Quỹ phúc lợi,- Quỹ phúc lợi,"1,875",14.000,1.875,14000.0
- Quỹ khen thưởng,- Quỹ khen thưởng,- Quỹ khen thưởng,"1,875",14.000,1.875,14000.0
Thù lao HĐQT và BKS,Thù lao HĐQT và BKS,Thù lao HĐQT và BKS,"1,50",11.197,1.5,11197.0
Chia cổ tức bằng cổ phiếu cho cổ đông (9% vốn điều lệ) (ii),Chia cổ tức bằng cổ phiếu cho cổ đông (9% vốn điều lệ) (ii),Chia cổ tức bằng cổ phiếu cho cổ đông (9% vốn điều lệ) (ii),"78,37",585.000,78.37,585000.0
Lợi nhuận để lại,Lợi nhuận để lại,Lợi nhuận để lại,,10.317,,10317.0
