row_label_raw,row_label_full,Bên liên quan > Cổ đông lớn và các bên liên quan với cổ đông lớn,Các giao dịch > Gửi tiền vào tài khoản và trả lãi tiền gửi > Rút tiền từ tài khoản,Năm nayTriệu đồng > 29.122.406 > 29.874.071,Năm trướcTriệu đồng > 33.797.792 > 36.890.352,numeric__Các giao dịch > Gửi tiền vào tài khoản và trả lãi tiền gửi > Rút tiền từ tài khoản,numeric__Năm nayTriệu đồng > 29.122.406 > 29.874.071,numeric__Năm trướcTriệu đồng > 33.797.792 > 36.890.352
Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Thu gốc cho vay,112.680,112.680,,112680.0,112680.0
Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Thu nhập lãi cho vay,38.733,102.435,,38733.0,102435.0
Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Thu nhập lãi trái phiếu,34.693,31.500,,34693.0,31500.0
"Các công ty Ngân hàng đầu tư, góp vốn","Các công ty Ngân hàng đầu tư, góp vốn","Các công ty Ngân hàng đầu tư, góp vốn",Gửi tiền vào tài khoản và trả lãi tiền gửi,98.554.062,120.928.722,,98554062.0,120928722.0
"Các công ty Ngân hàng đầu tư, góp vốn","Các công ty Ngân hàng đầu tư, góp vốn","Các công ty Ngân hàng đầu tư, góp vốn",Rút tiền từ tài khoản,97.161.862,122.452.203,,97161862.0,122452203.0
"Các công ty Ngân hàng đầu tư, góp vốn","Các công ty Ngân hàng đầu tư, góp vốn","Các công ty Ngân hàng đầu tư, góp vốn",Cho vay,8.872.660,13.237.076,,8872660.0,13237076.0
"Các công ty Ngân hàng đầu tư, góp vốn","Các công ty Ngân hàng đầu tư, góp vốn","Các công ty Ngân hàng đầu tư, góp vốn",Thu gốc cho vay,8.724.528,12.907.570,,8724528.0,12907570.0
"Các công ty Ngân hàng đầu tư, góp vốn","Các công ty Ngân hàng đầu tư, góp vốn","Các công ty Ngân hàng đầu tư, góp vốn",Thu nhập lãi cho vay,38.004,27.924,,38004.0,27924.0
"Các công ty Ngân hàng đầu tư, góp vốn","Các công ty Ngân hàng đầu tư, góp vốn","Các công ty Ngân hàng đầu tư, góp vốn",Cổ tức nhận được,26.809,98.390,,26809.0,98390.0
Các công ty con,Các công ty con,Các công ty con,Gửi tiền vào tài khoản và trả lãi tiền gửi,68.774.785,31.550.225,,68774785.0,31550225.0
Các công ty con,Các công ty con,Các công ty con,Rút tiền từ tài khoản,68.811.654,31.118.942,,68811654.0,31118942.0
Các công ty con,Các công ty con,Các công ty con,Cổ tức nhận được,300.000,150.000,,300000.0,150000.0
Các công ty con,Các công ty con,Các công ty con,Góp vốn,-,150.000,,,150000.0
Các công ty con,Các công ty con,Các công ty con,Tạm ứng góp vốn,300.000,-,,300000.0,
Các công ty con,Các công ty con,Các công ty con,Cho vay,650.000,380.000,,650000.0,380000.0
Các công ty con,Các công ty con,Các công ty con,Thu gốc cho vay,580.000,980.000,,580000.0,980000.0
