row_label_raw,row_label_full,col_0,Trong nướcTriệu đồng,Nước ngoàiTriệu đồng,Tổng cộngTriệu đồng,numeric__Trong nướcTriệu đồng,numeric__Nước ngoàiTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản tại ngày 31 tháng 12 năm 2019,Tài sản tại ngày 31 tháng 12 năm 2019,Tài sản tại ngày 31 tháng 12 năm 2019,Tài sản tại ngày 31 tháng 12 năm 2019,Tài sản tại ngày 31 tháng 12 năm 2019,Tài sản tại ngày 31 tháng 12 năm 2019,,,
Tiền gửi tại và cho vay các TCTD khác,Tài sản tại ngày 31 tháng 12 năm 2019 > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,24.553.448,413.449,24.966.897,24553448.0,413449.0,24966897.0
Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),Tài sản tại ngày 31 tháng 12 năm 2019 > Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),34.859.684,-,34.859.684,34859684.0,,34859684.0
Cho vay khách hàng - gộp,Tài sản tại ngày 31 tháng 12 năm 2019 > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,133.742.672,-,133.742.672,133742672.0,,133742672.0
Chứng khoán kinh doanh và chứng khoánđầu tư - gộp,Tài sản tại ngày 31 tháng 12 năm 2019 > Chứng khoán kinh doanh và chứng khoánđầu tư - gộp,Chứng khoán kinh doanh và chứng khoánđầu tư - gộp,42.296.799,-,42.296.799,42296799.0,,42296799.0
"Gộp vốn, đầu tư dài hạn - gộp","Tài sản tại ngày 31 tháng 12 năm 2019 > Gộp vốn, đầu tư dài hạn - gộp","Gộp vốn, đầu tư dài hạn - gộp",1.074.805,-,1.074.805,1074805.0,,1074805.0
Công nợ tại ngày 31 tháng 12 năm 2019,Công nợ tại ngày 31 tháng 12 năm 2019,Công nợ tại ngày 31 tháng 12 năm 2019,Công nợ tại ngày 31 tháng 12 năm 2019,Công nợ tại ngày 31 tháng 12 năm 2019,Công nợ tại ngày 31 tháng 12 năm 2019,,,
Tiền gửi và vay các TCTD khác,Công nợ tại ngày 31 tháng 12 năm 2019 > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,41.795.048,5.617.553,47.412.601,41795048.0,5617553.0,47412601.0
Tiền gửi của khách hàng,Công nợ tại ngày 31 tháng 12 năm 2019 > Tiền gửi của khách hàng,Tiền gửi của khách hàng,126.156.759,-,126.156.759,126156759.0,,126156759.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro","Công nợ tại ngày 31 tháng 12 năm 2019 > Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro",3.043.492,-,3.043.492,3043492.0,,3043492.0
Phát hành giấy tờ có giá,Công nợ tại ngày 31 tháng 12 năm 2019 > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,19.306.063,-,19.306.063,19306063.0,,19306063.0
Cam kết ngoại bảng tạingày 31 tháng 12 năm 2019,Công nợ tại ngày 31 tháng 12 năm 2019 > Cam kết ngoại bảng tạingày 31 tháng 12 năm 2019,Cam kết ngoại bảng tạingày 31 tháng 12 năm 2019,90.992.307,-,90.992.307,90992307.0,,90992307.0
