row_label_raw,row_label_full,col_0,Thay đổi tỷ giá,Ảnh hưởng tăng/(giảm) lợi nhuận sau thuế Triệu đồng,numeric__Thay đổi tỷ giá,numeric__Ảnh hưởng tăng/(giảm) lợi nhuận sau thuế Triệu đồng
Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,,
EUR,Tại ngày 31 tháng 12 năm 2019 > EUR,EUR,5%,216,0.05,216.0
EUR,Tại ngày 31 tháng 12 năm 2019 > EUR,EUR,(5%),(216),,-216.0
USD,Tại ngày 31 tháng 12 năm 2019 > USD,USD,5%,(5.073),0.05,-5073.0
USD,Tại ngày 31 tháng 12 năm 2019 > USD,USD,(5%),5.073,,5073.0
SJC,Tại ngày 31 tháng 12 năm 2019 > SJC,SJC,5%,1.330,0.05,1330.0
SJC,Tại ngày 31 tháng 12 năm 2019 > SJC,SJC,(5%),(1.330),,-1330.0
