row_label_raw,row_label_full,Chỉ tiêu > Số đầu năm > Lợi nhuận trong năm,Vốn điều lệ Triệu đồng > 9.810.000 > -,Thăng dư vốn cổ phần Triệu đồng > 2.042.255 > -,Cổ phiếu quỹ Triệu đồng > (2) > -,Vốn đầu tư xây dựng cơ bản Triệu đồng > 89 > -,Quỹ của TCTD Triệu đồng > 639.514 > -,Lợi nhuận chưa phân phối Triệu đồng > 2.636.287 > 3.473.396,Tổng cộng Triệu đồng > 15.128.143 > 3.473.396,numeric__Vốn điều lệ Triệu đồng > 9.810.000 > -,numeric__Thăng dư vốn cổ phần Triệu đồng > 2.042.255 > -,numeric__Cổ phiếu quỹ Triệu đồng > (2) > -,numeric__Vốn đầu tư xây dựng cơ bản Triệu đồng > 89 > -,numeric__Quỹ của TCTD Triệu đồng > 639.514 > -,numeric__Lợi nhuận chưa phân phối Triệu đồng > 2.636.287 > 3.473.396,numeric__Tổng cộng Triệu đồng > 15.128.143 > 3.473.396
Tăng cổ phiếu quỹ,Tăng cổ phiếu quỹ,Tăng cổ phiếu quỹ,-,-,(158.927),-,-,-,(158.927),,,-158927.0,,,,-158927.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,-,414.661,(414.661),-,,,,,414661.0,-414661.0,
"Trích quỹ khen thưởng,phúc lợi","Trích quỹ khen thưởng,phúc lợi","Trích quỹ khen thưởng,phúc lợi",-,-,-,-,-,(5.000),(5.000),,,,,,-5000.0,-5000.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(3.431),-,(3.431),,,,,-3431.0,,-3431.0
Số cuối năm,Số cuối năm,Số cuối năm,9.810.000,2.042.255,(158.929),89,1.050.744,5.690.022,18.434.181,9810000.0,2042255.0,-158929.0,89.0,1050744.0,5690022.0,18434181.0
