row_label_raw,row_label_full,col_0,Quyền sử dụng đất có thời hạn Triệu đồng,Quyền sử dụng đất không thời hạn Triệu đồng,Phần mềm máy vi tính Triệu đồng,Tài sản khác Triệu đồng,Tổng cộng Triệu đồng,numeric__Quyền sử dụng đất có thời hạn Triệu đồng,numeric__Quyền sử dụng đất không thời hạn Triệu đồng,numeric__Phần mềm máy vi tính Triệu đồng,numeric__Tài sản khác Triệu đồng,numeric__Tổng cộng Triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,90.743,946.180,163.630,351,1.200.904,90743.0,946180.0,163630.0,351.0,1200904.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,13.490,49.317,13.481,-,76.288,13490.0,49317.0,13481.0,,76288.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(742.041),-,-,(742.041),,-742041.0,,,-742041.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,104.233,253.456,177.111,351,535.151,104233.0,253456.0,177111.0,351.0,535151.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,4.329,-,154.546,351,159.226,4329.0,,154546.0,351.0,159226.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,1.778,-,6.133,-,7.911,1778.0,,6133.0,,7911.0
"Thanh lý, nhượng bán","Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,-,-,,,,,
Số cuối năm,"Thanh lý, nhượng bán > Số cuối năm",Số cuối năm,6.107,-,160.679,351,167.137,6107.0,,160679.0,351.0,167137.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,86.414,946.180,9.084,-,1.041.678,86414.0,946180.0,9084.0,,1041678.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,98.126,253.456,16.432,-,368.014,98126.0,253456.0,16432.0,,368014.0
