row_label_raw,row_label_full,col_0,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Thời hạn định lại lãi suất_6,Thời hạn định lại lãi suất_7,Thời hạn định lại lãi suất_8,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Thời hạn định lại lãi suất_6,numeric__Thời hạn định lại lãi suất_7,numeric__Thời hạn định lại lãi suất_8
,,,Quá hạnTriệu đồng,Khôngchịu lãiTriệu đồng,Đến 1thángTriệu đồng,Từ 1 - 3thángTriệu đồng,Từ 3 - 6thángTriệu đồng,Từ 6 - 12thángTriệu đồng,Từ 1 - 5nămTriệu đồng,Trên 5nămTriệu đồng,Tổng cộngTriệu đồng,,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,2.004.370,-,-,-,-,-,-,2.004.370,,2004370.0,,,,,,,2004370.0
Tiền gửi tại NHNN Việt Nam,Tài sản > Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,-,-,3.802.885,-,-,-,-,-,3.802.885,,,3802885.0,,,,,,3802885.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,21.980.707,2.786.190,200.000,-,-,-,24.966.897,,,21980707.0,2786190.0,200000.0,,,,24966897.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,5.100.988,-,-,-,-,-,-,5.100.988,,5100988.0,,,,,,,5100988.0
Các công cụ tài chính phải sinh và cáctài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và cáctài sản tài chính khác,Các công cụ tài chính phải sinh và cáctài sản tài chính khác,-,44.998,-,-,-,-,-,-,44.998,,44998.0,,,,,,,44998.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,3.000.699,-,38.589.568,64.047.201,14.224.744,11.372.630,2.468.007,39.823,133.742.672,3000699.0,,38589568.0,64047201.0,14224744.0,11372630.0,2468007.0,39823.0,133742672.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,62.259,1.499.718,1.159.255,2.089.355,4.578.088,7.111.276,15.460.107,5.235.753,37.195.811,62259.0,1499718.0,1159255.0,2089355.0,4578088.0,7111276.0,15460107.0,5235753.0,37195811.0
"Gộp vốn, đầu tư dài hạn - gộp","Tài sản > Gộp vốn, đầu tư dài hạn - gộp","Gộp vốn, đầu tư dài hạn - gộp",-,1.074.805,-,-,-,-,-,-,1.074.805,,1074805.0,,,,,,,1074805.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,868.304,-,-,-,-,-,-,868.304,,868304.0,,,,,,,868304.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,40.023,10.475.012,-,-,-,-,-,738.000,11.253.035,40023.0,10475012.0,,,,,,738000.0,11253035.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,3.102.981,21.068.195,65.532.415,68.922.746,19.002.832,18.483.906,17.928.114,6.013.576,220.054.765,3102981.0,21068195.0,65532415.0,68922746.0,19002832.0,18483906.0,17928114.0,6013576.0,220054765.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ NHNN Việt Nam,Nợ phải trả > Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,-,-,46,208.023,-,-,1.082,-,209.151,,,46.0,208023.0,,,1082.0,,209151.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,3.815.818,30.946.391,11.283.362,1.367.030,-,-,-,47.412.601,,3815818.0,30946391.0,11283362.0,1367030.0,,,,47412601.0
