row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng cộngTriệu đồng,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng cộngTriệu đồng
,,,Trên 3thángTriệu đồng,Đến 3thángTriệu đồng,Đến 1thángTriệu đồng,Từ 1 - 3thángTriệu đồng,Từ 3 - 12thángTriệu đồng,Từ 1 - 5nămTriệu đồng,Trên 5nămTriệu đồng,Tổng cộngTriệu đồng,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,-,2.004.370,-,-,-,-,2.004.370,,,2004370.0,,,,,2004370.0
Tiền gửi tại NHNN Việt Nam,Tài sản > Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,-,-,3.802.885,-,-,-,-,3.802.885,,,3802885.0,,,,,3802885.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,21.980.707,2.786.190,200.000,-,-,24.966.897,,,21980707.0,2786190.0,200000.0,,,24966897.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,-,-,2.122.284,2.135.060,843.644,5.100.988,,,,,2122284.0,2135060.0,843644.0,5100988.0
Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,-,-,34.938,(10.946),21.131,(125),-,44.998,,,34938.0,-10946.0,21131.0,-125.0,,44998.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,1.312.218,1.688.481,7.003.175,15.280.981,57.499.979,28.001.501,22.956.337,133.742.672,1312218.0,1688481.0,7003175.0,15280981.0,57499979.0,28001501.0,22956337.0,133742672.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,62.259,-,2.031.272,1.104.274,6.878.091,18.084.336,9.035.579,37.195.811,62259.0,,2031272.0,1104274.0,6878091.0,18084336.0,9035579.0,37195811.0
"Gộp vốn, đầu tư dài hạn - gộp","Tài sản > Gộp vốn, đầu tư dài hạn - gộp","Gộp vốn, đầu tư dài hạn - gộp",-,-,-,-,-,-,1.074.805,1.074.805,,,,,,,1074805.0,1074805.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,290.549,52,3.005,118.683,456.015,868.304,,,290549.0,52.0,3005.0,118683.0,456015.0,868304.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,39.498,525,1.407.009,2.882.146,3.364.291,1.954.837,1.604.729,11.253.035,39498.0,525.0,1407009.0,2882146.0,3364291.0,1954837.0,1604729.0,11253035.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,1.413.975,1.689.006,38.554.905,22.042.697,70.088.781,50.294.292,35.971.109,220.054.765,1413975.0,1689006.0,38554905.0,22042697.0,70088781.0,50294292.0,35971109.0,220054765.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Các khoản nợ NHNN Việt Nam,Nợ phải trả > Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,-,-,46,152,3.898,160.225,44.830,209.151,,,46.0,152.0,3898.0,160225.0,44830.0,209151.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,30.850.098,10.462.423,1.952.650,4.147.430,-,47.412.601,,,30850098.0,10462423.0,1952650.0,4147430.0,,47412601.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,44.729.594,20.216.154,57.020.973,4.188.530,1.508,126.156.759,,,44729594.0,20216154.0,57020973.0,4188530.0,1508.0,126156759.0
"Vốn tài trợ, uỷ thác đầu tư, cho vayTCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, uỷ thác đầu tư, cho vayTCTD chịu rủi ro","Vốn tài trợ, uỷ thác đầu tư, cho vayTCTD chịu rủi ro",-,-,-,-,-,-,3.043.492,3.043.492,,,,,,,3043492.0,3043492.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,50.000,25.000,2.899.000,13.831.063,2.501.000,19.306.063,,,50000.0,25000.0,2899000.0,13831063.0,2501000.0,19306063.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,765.334,953.886,1.941.691,69.756,40.791,3.771.458,,,765334.0,953886.0,1941691.0,69756.0,40791.0,3771458.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,76.395.072,31.657.615,63.818.212,22.397.004,5.631.621,199.899.524,,,76395072.0,31657615.0,63818212.0,22397004.0,5631621.0,199899524.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,1.413.975,1.689.006,(37.840.167),(9.614.918),6.270.569,27.897.288,30.339.488,20.155.241,1413975.0,1689006.0,-37840167.0,-9614918.0,6270569.0,27897288.0,30339488.0,20155241.0
