row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận tảiTriệu đồng,"Thiết bị,dụng cụ quản lýTriệu đồng",Tài sản khácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tảiTriệu đồng,"numeric__Thiết bị,dụng cụ quản lýTriệu đồng",numeric__Tài sản khácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,464.759,153.535,252.558,204.843,10.752,1.086.447,464759.0,153535.0,252558.0,204843.0,10752.0,1086447.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,44.655,8.890,36.336,18.794,1.205,109.880,44655.0,8890.0,36336.0,18794.0,1205.0,109880.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(91.699),(1.505),(15.726),(997),(213),(110.140),-91699.0,-1505.0,-15726.0,-997.0,-213.0,-110140.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,417.715,160.920,273.168,222.640,11.744,1.086.187,417715.0,160920.0,273168.0,222640.0,11744.0,1086187.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Số đầu năm,Giá trị hao mòn luỹ kế > Số đầu năm,Số đầu năm,89.440,123.543,130.053,198.544,8.538,550.118,89440.0,123543.0,130053.0,198544.0,8538.0,550118.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,16.082,8.091,31.786,5.392,1.008,62.359,16082.0,8091.0,31786.0,5392.0,1008.0,62359.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(9.025),(1.505),(14.872),(965),(213),(26.580),-9025.0,-1505.0,-14872.0,-965.0,-213.0,-26580.0
Số cuối năm,Giá trị hao mòn luỹ kế > Số cuối năm,Số cuối năm,96.497,130.129,146.967,202.971,9.333,585.897,96497.0,130129.0,146967.0,202971.0,9333.0,585897.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,375.319,29.992,122.505,6.299,2.214,536.329,375319.0,29992.0,122505.0,6299.0,2214.0,536329.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,321.218,30.791,126.201,19.669,2.411,500.290,321218.0,30791.0,126201.0,19669.0,2411.0,500290.0
