row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị hợp lý
Cổ phiếu và chứng khoán niêm yết khác,Cổ phiếu và chứng khoán niêm yết khác,Cổ phiếu và chứng khoán niêm yết khác,1.613.732.331.633,1.623.995.879.664,1.014.775.945.689,1.006.797.074.806,1613732331633.0,1623995879664.0,1014775945689.0,1006797074806.0
VPB,VPB,VPB,909.490.439.696,897.445.555.200,384.885.101.433,385.288.704.000,909490439696.0,897445555200.0,384885101433.0,385288704000.0
FPT,FPT,FPT,53.253.124.050,56.449.857.500,92.036.132.250,89.066.729.300,53253124050.0,56449857500.0,92036132250.0,89066729300.0
MWG,MWG,MWG,53.845.954.822,53.905.700.000,32.032.879.299,32.117.419.600,53845954822.0,53905700000.0,32032879299.0,32117419600.0
HPG,HPG,HPG,49.303.194.457,48.783.651.150,56.113.356.069,57.405.946.000,49303194457.0,48783651150.0,56113356069.0,57405946000.0
Cổ phiếu và chứng khoán niêm yết khác,Cổ phiếu và chứng khoán niêm yết khác,Cổ phiếu và chứng khoán niêm yết khác,547.839.618.608,567.411.115.814,449.708.476.638,442.918.275.906,547839618608.0,567411115814.0,449708476638.0,442918275906.0
Cổ phiếu niêm yết cho hoạt động phòng ngừa rủi ro của chứng quyền,Cổ phiếu niêm yết cho hoạt động phòng ngừa rủi ro của chứng quyền,Cổ phiếu niêm yết cho hoạt động phòng ngừa rủi ro của chứng quyền,968.809.795.708,994.496.681.450,493.864.555.823,493.694.236.100,968809795708.0,994496681450.0,493864555823.0,493694236100.0
FPT,FPT,FPT,342.455.410.919,363.012.677.500,24.264.110.048,23.481.266.200,342455410919.0,363012677500.0,24264110048.0,23481266200.0
HPG,HPG,HPG,119.676.905.690,118.415.783.850,184.674.544.091,188.928.584.000,119676905690.0,118415783850.0,184674544091.0,188928584000.0
MBB,MBB,MBB,128.052.299.746,131.098.881.300,20.159.079.788,20.192.355.000,128052299746.0,131098881300.0,20159079788.0,20192355000.0
MWG,MWG,MWG,187.397.571.637,187.605.500.000,21.475.702.313,21.532.380.400,187397571637.0,187605500000.0,21475702313.0,21532380400.0
Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,191.227.607.716,194.363.838.800,243.291.119.583,239.559.650.500,191227607716.0,194363838800.0,243291119583.0,239559650500.0
Cổ phiếu và Chứng chỉ quỹ chưa niêm yết,Cổ phiếu và Chứng chỉ quỹ chưa niêm yết,Cổ phiếu và Chứng chỉ quỹ chưa niêm yết,70.306.080.610,49.487.282.681,263.186.085.662,251.045.110.813,70306080610.0,49487282681.0,263186085662.0,251045110813.0
Trái phiếu niêm yết (1),Trái phiếu niêm yết (1),Trái phiếu niêm yết (1),6.188.270.963.139,5.991.649.185.831,1.733.873.492.548,1.649.434.178.931,6188270963139.0,5991649185831.0,1733873492548.0,1649434178931.0
Trái phiếu chưa niêm yết (2),Trái phiếu chưa niêm yết (2),Trái phiếu chưa niêm yết (2),9.041.780.224.727,9.041.780.224.727,10.680.989.784.540,10.680.989.784.540,9041780224727.0,9041780224727.0,10680989784540.0,10680989784540.0
Chứng chỉ tiền gửi (3),Chứng chỉ tiền gửi (3),Chứng chỉ tiền gửi (3),24.736.712.227.048,24.736.712.227.048,29.990.192.789.498,29.990.192.789.498,24736712227048.0,24736712227048.0,29990192789498.0,29990192789498.0
Tổng cộng,Tổng cộng,Tổng cộng,42.619.611.622.865,42.438.121.481.401,44.176.882.653.760,44.072.153.174.688,42619611622865.0,42438121481401.0,44176882653760.0,44072153174688.0
