row_label_raw,row_label_full,No.,Financial assets,Cost,Fair value,Revaluation difference at the end of the year,Revaluation difference at the beginning of the year,Currency: VND Net gain/(loss) recorded this year,numeric__Financial assets,numeric__Cost,numeric__Fair value,numeric__Revaluation difference at the end of the year,numeric__Revaluation difference at the beginning of the year,numeric__Currency: VND Net gain/(loss) recorded this year
II,II,II,AFS,"522,719,754,651","562,332,851,822","39,613,097,171","(4,741,291,386)","44,354,388,557",,,,,,
1,1,1,Unlisted shares registered for trading on the UPCoM,"71,675,281,043","116,029,669,600","44,354,388,557",-,"44,354,388,557",,,,,,
2,2,2,Other unlisted shares,"342,764,891,142","338,023,599,756","(4,741,291,386)","(4,741,291,386)",-,,,,,,
3,3,3,Unlisted bonds,"108,279,582,466","108,279,582,466",-,-,-,,,,,,
,,,Total,"43,142,331,377,516","43,000,454,333,223","(141,877,044,293)","(109,470,770,458)","(32,406,273,835)",,,,,,
