row_label_raw,row_label_full,Tài sân,Số cuối năm,Số đầu năm,Đơn vị tính: VNDMục đíchđảm bảo,numeric__Số cuối năm,numeric__Số đầu năm,numeric__Đơn vị tính: VNDMục đíchđảm bảo
Ngắn hạn,Ngắn hạn,Ngắn hạn,37.241.587.622.128,34.532.623.375.714,,37241587622128.0,34532623375714.0,
Tài sân tài chính FVTPL - tỉnh theo mênh giá (Thuyết minh số 7.1),Tài sân tài chính FVTPL - tỉnh theo mênh giá (Thuyết minh số 7.1),Tài sân tài chính FVTPL - tỉnh theo mênh giá (Thuyết minh số 7.1),33.062.000.000.000,29.323.400.000.000,Các khoảnvay ngắn hạn,33062000000000.0,29323400000000.0,
Tiền gửi có kỳ hạn còn lại dưới 1 năm (Thuyết minh số 7.3),Tiền gửi có kỳ hạn còn lại dưới 1 năm (Thuyết minh số 7.3),Tiền gửi có kỳ hạn còn lại dưới 1 năm (Thuyết minh số 7.3),3.320.000.000.000,4.700.000.000.000,Các khoảnvay ngắn hạn,3320000000000.0,4700000000000.0,
Chứng chỉ tiền gửi có kỳ hạn còn lại dưới 1 năm (Thuyết minh số 7.3),Chứng chỉ tiền gửi có kỳ hạn còn lại dưới 1 năm (Thuyết minh số 7.3),Chứng chỉ tiền gửi có kỳ hạn còn lại dưới 1 năm (Thuyết minh số 7.3),-,100.000.000.000,Các khoảnvay ngắn hạn,,100000000000.0,
Tiền gửi có kỳ hạn còn lại dưới 1 năm (Thuyết minh số 7.3),Tiền gửi có kỳ hạn còn lại dưới 1 năm (Thuyết minh số 7.3),Tiền gửi có kỳ hạn còn lại dưới 1 năm (Thuyết minh số 7.3),9.587.622.128,9.223.375.714,Hợp đồng cấpbảo lãnh,9587622128.0,9223375714.0,
Chứng chỉ tiền gửi FVTPL (Thuyết minh số 7.1),Chứng chỉ tiền gửi FVTPL (Thuyết minh số 7.1),Chứng chỉ tiền gửi FVTPL (Thuyết minh số 7.1),850.000.000.000,400.000.000.000,Chứng quyền,850000000000.0,400000000000.0,
Dài hạn,Dài hạn,Dài hạn,1.185.801.200.000,2.365.801.200.000,,1185801200000.0,2365801200000.0,
Trái phiếu có kỳ hạn còn lại trên 1 năm - tỉnh theo mênh giá(Thuyết minh số 11),Trái phiếu có kỳ hạn còn lại trên 1 năm - tỉnh theo mênh giá(Thuyết minh số 11),Trái phiếu có kỳ hạn còn lại trên 1 năm - tỉnh theo mênh giá(Thuyết minh số 11),600.000.000.000,2.100.000.000.000,Các khoảnvay ngắn hạn,600000000000.0,2100000000000.0,
Tiền gửi có kỳ hạn còn lại trên 1 năm (Thuyết minh số 11),Tiền gửi có kỳ hạn còn lại trên 1 năm (Thuyết minh số 11),Tiền gửi có kỳ hạn còn lại trên 1 năm (Thuyết minh số 11),320.000.000.000,-,Các khoảnvay ngắn hạn,320000000000.0,,
Đầu tư vào công ty liên kết - tỉnh theo mênh giá (Thuyết minh số 11),Đầu tư vào công ty liên kết - tỉnh theo mênh giá (Thuyết minh số 11),Đầu tư vào công ty liên kết - tỉnh theo mênh giá (Thuyết minh số 11),265.801.200.000,265.801.200.000,Các khoảnvay ngắn hạn,265801200000.0,265801200000.0,
Tổng cộng,Tổng cộng,Tổng cộng,38.427.388.822.128,36.898.424.575.714,,38427388822128.0,36898424575714.0,
