row_label_raw,row_label_full,Code,ITEMS,Notes,Ending balance,Opening balance,numeric__ITEMS,numeric__Notes,numeric__Ending balance,numeric__Opening balance
,,,A. ASSETS OF THE COMPANY AND ASSETS MANAGED UNDER AGREEMENTS,,,,,,,
004,004,004,Bad debts written-off (VND),,"44,493,312,525","44,161,494,585",,,,
005,004 > 005,005,Foreign currenciesUSDEURGBP,30.1,"336,561.71101.80107.64","833,572.28101.46107.64",,301.0,336.5617110180108,833.5722810146108
006,004 > 006,006,Outstanding shares (number of shares),29.4,"1,961,872,450","1,499,138,669",,294.0,,
007,004 > 007,007,Treasury shares (number of shares),29.4,"1,991,468","1,991,468",,294.0,,
008,004 > 008,008,"Financial assets listed/registered for trading at Vietnam Securities Depository (""VSD"") of the Company (VND)",30.2,"7,187,812,570,000","4,883,569,670,000",,302.0,,
009,004 > 009,009,Non-traded financial assets deposited at VSD of the Company (VND),30.3,"525,880,220,000","13,547,260,000",,303.0,,
010,004 > 010,010,Awaiting financial assets of the Company (VND),30.4,"23,542,100,000","337,024,380,000",,304.0,,
012,004 > 012,012,Financial assets which have not been deposited at VSD of the Company (VND),30.5,"9,646,573,797,300","10,179,573,915,500",,305.0,,
013,013,013,Entitled financial assets of the Company (VND),,"2,768,230,000",-,,,,
014,014,014,Covered warrants (number of covered warrants),,"1,033,885,200","677,576,400",,,,
,,,B. ASSETS AND PAYABLES UNDER AGREEMENT WITH INVESTORS,,,,,,,
021,014 > 021,021,Financial assets listed/registered for trading at VSD of investors (VND),30.6,"119,604,922,696,400","92,107,232,651,200",,306.0,,
021.1,021.1,021.1,Unrestricted financial assets,,"102,694,055,926,400","78,834,186,721,200",,,,
021.2,021.2,021.2,Restricted financial assets,,"4,982,805,830,000","969,229,010,000",,,,
021.3,021.3,021.3,Mortgaged financial assets,,"11,310,605,310,000","10,965,402,370,000",,,,
021.4,021.4,021.4,Blocked financial assets,,"20,725,970,000","16,950,300,000",,,,
021.5,021.5,021.5,Financial assets awaiting settlement,,"596,729,660,000","1,321,464,250,000",,,,
