row_label_raw,row_label_full,col_0,Ending balance of doubtful debts,Opening balance of provision,Addition,Reversal,Ending balance of provision,Currency: VND Opening balance of doubtful debts,numeric__Ending balance of doubtful debts,numeric__Opening balance of provision,numeric__Addition,numeric__Reversal,numeric__Ending balance of provision,numeric__Currency: VND Opening balance of doubtful debts
Provision for doubtful receivables from disposal of financial assets,Provision for doubtful receivables from disposal of financial assets,Provision for doubtful receivables from disposal of financial assets,"231,621,436,808","231,621,436,808",-,-,"231,621,436,808","231,621,436,808",,,,,,
"- Phuc Bao Minh Commercial Construction Co., Ltd","- Phuc Bao Minh Commercial Construction Co., Ltd","- Phuc Bao Minh Commercial Construction Co., Ltd","231,621,436,808","231,621,436,808",-,-,"231,621,436,808","231,621,436,808",,,,,,
Doubtful receivables from services provided by the Company,Doubtful receivables from services provided by the Company,Doubtful receivables from services provided by the Company,"566,622,498","250,000,000","168,520,995",-,"418,520,995","250,000,000",,,,,,
- Huu Nghi Nghe An General Hospital JSC,- Huu Nghi Nghe An General Hospital JSC,- Huu Nghi Nghe An General Hospital JSC,"10,000,000","10,000,000",-,-,"10,000,000","10,000,000",,,,,,
- Dabaco Group JSC (DBC),- Dabaco Group JSC (DBC),- Dabaco Group JSC (DBC),"240,000,000","240,000,000",-,-,"240,000,000","240,000,000",,,,,,
- Receivables from overdue portfolio management activities,- Receivables from overdue portfolio management activities,- Receivables from overdue portfolio management activities,"316,622,498",-,"168,520,995",-,"168,520,995",-,,,,,,
Total,Total,Total,"232,188,059,306","231,871,436,808","168,520,995",-,"232,039,957,803","231,871,436,808",,,,,,
