row_label_raw,row_label_full,col_0,Currency: VNDBuildings and land,numeric__Currency: VNDBuildings and land
Cost,Cost,Cost,Cost,
1 January 2024,1 January 2024,1 January 2024,"334,221,951,291",
Increase,Increase,Increase,"16,125,795,513",
- Exchange rate difference arising from conversion of subsidiary's financial statements,- Exchange rate difference arising from conversion of subsidiary's financial statements,- Exchange rate difference arising from conversion of subsidiary's financial statements,"16,125,795,513",
Decrease,Decrease,Decrease,"(62,888,146,776)",
- Disposals of investment real estate,- Disposals of investment real estate,- Disposals of investment real estate,"(62,888,146,776)",
31 December 2024,31 December 2024,31 December 2024,"287,459,600,028",
