row_label_raw,row_label_full,col_0,Ratios in 2024,Ratios in 2023,numeric__Ratios in 2024,numeric__Ratios in 2023
Assets ratios,Assets ratios,Assets ratios,Assets ratios,Assets ratios,,
Current assets/Total Assets,Assets ratios > Current assets/Total Assets,Current assets/Total Assets,96.50%,94.97%,96.5,94.97
Non-current assets/Total Assets,Assets ratios > Non-current assets/Total Assets,Non-current assets/Total Assets,3.50%,5.03%,3.5,5.03
Liabilities and Owners' equity ratios,Liabilities and Owners' equity ratios,Liabilities and Owners' equity ratios,Liabilities and Owners' equity ratios,Liabilities and Owners' equity ratios,,
Liabilities/Total Assets,Liabilities and Owners' equity ratios > Liabilities/Total Assets,Liabilities/Total Assets,63.50%,66.43%,63.5,66.43
Owners' equity/Total Assets,Liabilities and Owners' equity ratios > Owners' equity/Total Assets,Owners' equity/Total Assets,36.50%,33.57%,36.5,33.57
Profitability ratios,Profitability ratios,Profitability ratios,Profitability ratios,Profitability ratios,,
Profit after tax/Total assets (ROA),Profitability ratios > Profit after tax/Total assets (ROA),Profit after tax/Total assets (ROA),3.87%,3.31%,3.87,3.31
Profit after tax/Owners' equity (*) (ROE),Profitability ratios > Profit after tax/Owners' equity (*) (ROE),Profit after tax/Owners' equity (*) (ROE),10.67%,9.93%,10.67,9.93
Profit after tax/Capital contribution,Profitability ratios > Profit after tax/Capital contribution,Profit after tax/Capital contribution,14.49%,15.28%,14.49,15.28
Profit after tax/Income,Profitability ratios > Profit after tax/Income,Profit after tax/Income,32.67%,31.51%,32.67,31.51
Liquidity,Liquidity,Liquidity,Liquidity,Liquidity,,
Current ratio (Current assets/ Current liabilities),Liquidity > Current ratio (Current assets/ Current liabilities),Current ratio (Current assets/ Current liabilities),1.52,1.43,152.0,143.0
Quick ratio ([Cash and cash equivalents + Short-term investment]/Current liabilities),Liquidity > Quick ratio ([Cash and cash equivalents + Short-term investment]/Current liabilities),Quick ratio ([Cash and cash equivalents + Short-term investment]/Current liabilities),1.48,1.42,148.0,142.0
