row_label_raw,row_label_full,ITEMS,Notes,Opening balance,Opening balance_1,Increase/Decrease,Increase/Decrease_1,Increase/Decrease_2,Increase/Decrease_3,Ending balance,Ending balance_1,numeric__Notes,numeric__Opening balance,numeric__Opening balance_1,numeric__Increase/Decrease,numeric__Increase/Decrease_1,numeric__Increase/Decrease_2,numeric__Increase/Decrease_3,numeric__Ending balance,numeric__Ending balance_1
ITEMS,ITEMS,ITEMS,Notes,1 January 2023,1 January 2024,Previous year,Previous year,Current year,Current year,31 December 2023,31 December 2024,,,,,,,,,
ITEMS,ITEMS,ITEMS,Notes,1 January 2023,1 January 2024,Increase,Decrease,Increase,Decrease,31 December 2023,31 December 2024,,,,,,,,,
ITEMS,ITEMS,ITEMS,Notes,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,,
A,ITEMS > A,A,B,1,2,3,4,5,6,7,8,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
I.CHANGES IN OWNERS' EQUITY,I.CHANGES IN OWNERS' EQUITY,I.CHANGES IN OWNERS' EQUITY,,,,,,,,,,,,,,,,,,
1. Share capital,I.CHANGES IN OWNERS' EQUITY > 1. Share capital,1. Share capital,29.2,"18,191,406,836,235","18,291,394,836,235","100,000,000,000","(12,000,000)","5,381,907,145,000","(2,960,236,887,127)","18,291,394,836,235","20,713,065,094,108",292.0,,,,,,,,
1.1. Ordinary share,I.CHANGES IN OWNERS' EQUITY > 1.1. Ordinary share,1.1. Ordinary share,29.2,"14,911,301,370,000","15,011,301,370,000","100,000,000,000",-,"4,627,337,810,000",-,"15,011,301,370,000","19,638,639,180,000",292.0,,,,,,,,
1.2. Share premium,I.CHANGES IN OWNERS' EQUITY > 1.2. Share premium,1.2. Share premium,29.2,"3,299,220,472,644","3,299,208,472,644",-,"(12,000,000)","754,569,335,000","(2,960,236,887,127)","3,299,208,472,644","1,093,540,920,517",292.0,,,,,,,,
1.3. Treasury share,I.CHANGES IN OWNERS' EQUITY > 1.3. Treasury share,1.3. Treasury share,29.2,"(19,115,006,409)","(19,115,006,409)",-,-,-,-,"(19,115,006,409)","(19,115,006,409)",292.0,,,,,,,,
2. Charter capital supplementary reserve,I.CHANGES IN OWNERS' EQUITY > 2. Charter capital supplementary reserve,2. Charter capital supplementary reserve,29.2,"61,252,419,507","61,252,419,507",-,-,-,"(58,252,419,507)","61,252,419,507","3,000,000,000",292.0,,,,,,,,
3. Differences from revaluation of financial assets at fair value,I.CHANGES IN OWNERS' EQUITY > 3. Differences from revaluation of financial assets at fair value,3. Differences from revaluation of financial assets at fair value,29.2,"(6,286,385,840)","(3,793,033,106)","38,110,659,605","(35,617,306,871)","35,483,510,846",-,"(3,793,033,106)","31,690,477,740",292.0,,,,,,,,
4. Foreign exchange rate differences,I.CHANGES IN OWNERS' EQUITY > 4. Foreign exchange rate differences,4. Foreign exchange rate differences,29.2,"44,775,287,721","55,243,155,795","10,467,868,074",-,"16,934,434,751",-,"55,243,155,795","72,177,590,546",292.0,,,,,,,,
5. Undistributed profit,I.CHANGES IN OWNERS' EQUITY > 5. Undistributed profit,5. Undistributed profit,29.2,"3,953,892,022,051","4,696,261,511,253","2,590,307,440,461","(1,847,937,951,259)","3,506,551,605,398","(2,346,714,800,713)","4,696,261,511,253","5,856,098,315,938",292.0,,,,,,,,
5.1. Realized profit,I.CHANGES IN OWNERS' EQUITY > 5.1. Realized profit,5.1. Realized profit,29.1,"4,080,124,452,649","4,764,972,942,283","2,237,380,088,847","(1,552,531,599,213)","2,939,900,408,631","(1,679,686,501,723)","4,764,972,942,283","6,025,186,849,191",291.0,,,,,,,,
5.2. Unrealized profit,I.CHANGES IN OWNERS' EQUITY > 5.2. Unrealized profit,5.2. Unrealized profit,29.1,"(126,232,430,598)","(68,711,431,030)","352,927,351,614","(295,406,352,046)","566,651,196,767","(667,028,298,990)","(68,711,431,030)","(169,088,533,253)",291.0,,,,,,,,
6. Non-controlling interests,I.CHANGES IN OWNERS' EQUITY > 6. Non-controlling interests,6. Non-controlling interests,29.1,"138,841,784,986","140,533,221,129","1,691,436,143",-,"10,085,912,307",-,"140,533,221,129","150,619,133,436",291.0,,,,,,,,
TOTAL,TOTAL,TOTAL,,"22,383,881,964,660","23,240,892,110,813","2,740,577,404,283","(1,883,567,258,130)","8,950,962,608,302","(5,365,204,107,347)","23,240,892,110,813","26,826,650,611,768",,,,,,,,,
