row_label_raw,row_label_full,col_0,Ending balance,Ending balance_1,Opening balance,Opening balance_1,numeric__Ending balance,numeric__Ending balance_1,numeric__Opening balance,numeric__Opening balance_1
,,,Cost,Fair value,Cost,Fair value,,,,
Listed shares and other listed securities,Listed shares and other listed securities,Listed shares and other listed securities,"1,613,732,331,633","1,623,995,879,664","1,014,775,945,689","1,006,797,074,806",,,,
VPB,VPB,VPB,"909,490,439,696","897,445,555,200","384,885,101,433","385,288,704,000",,,,
FPT,FPT,FPT,"53,253,124,050","56,449,857,500","92,036,132,250","89,066,729,300",,,,
MWG,MWG,MWG,"53,845,954,822","53,905,700,000","32,032,879,299","32,117,419,600",,,,
HPG,HPG,HPG,"49,303,194,457","48,783,651,150","56,113,356,069","57,405,946,000",,,,
Other listed shares and securities,Other listed shares and securities,Other listed shares and securities,"547,839,618,608","567,411,115,814","449,708,476,638","442,918,275,906",,,,
Listed shares used as hedging for covered warrants,Listed shares used as hedging for covered warrants,Listed shares used as hedging for covered warrants,"968,809,795,708","994,496,681,450","493,864,555,823","493,694,236,100",,,,
FPT,FPT,FPT,"342,455,410,919","363,012,677,500","24,264,110,048","23,481,266,200",,,,
HPG,HPG,HPG,"119,676,905,690","118,415,783,850","184,674,544,091","188,928,584,000",,,,
MBB,MBB,MBB,"128,052,299,746","131,098,881,300","20,159,079,788","20,192,355,000",,,,
MWG,MWG,MWG,"187,397,571,637","187,605,500,000","21,475,702,313","21,532,380,400",,,,
Other listed shares,Other listed shares,Other listed shares,"191,227,607,716","194,363,838,800","243,291,119,583","239,559,650,500",,,,
Unlisted shares and fund certificates,Unlisted shares and fund certificates,Unlisted shares and fund certificates,"70,306,080,610","49,487,282,681","263,186,085,662","251,045,110,813",,,,
Listed bonds (1),Listed bonds (1),Listed bonds (1),"6,188,270,963,139","5,991,649,185,831","1,733,873,492,548","1,649,434,178,931",,,,
Unlisted bonds (2),Unlisted bonds (2),Unlisted bonds (2),"9,041,780,224,727","9,041,780,224,727","10,680,989,784,540","10,680,989,784,540",,,,
Certificates of deposits (3),Certificates of deposits (3),Certificates of deposits (3),"24,736,712,227,048","24,736,712,227,048","29,990,192,789,498","29,990,192,789,498",,,,
Total,Total,Total,"42,619,611,622,865","42,438,121,481,401","44,176,882,653,760","44,072,153,174,688",,,,
