row_label_raw,row_label_full,col_0,Current year,Currency: VND Previous year,numeric__Current year,numeric__Currency: VND Previous year
Profit before tax,Profit before tax,Profit before tax,"3,543,527,483,662","2,848,566,970,193",,
Adjustments to decrease in accounting profit,Adjustments to decrease in accounting profit,Adjustments to decrease in accounting profit,"(272,571,079,915)","(286,179,410,919)",,
Increase:,Increase:,Increase:,,,,
- Decrease in revaluation of financial assets at FVTPL,- Decrease in revaluation of financial assets at FVTPL,- Decrease in revaluation of financial assets at FVTPL,"674,292,674,159","270,385,557,784",,
- Increase in revaluation of outstanding covered warrant payables,- Increase in revaluation of outstanding covered warrant payables,- Increase in revaluation of outstanding covered warrant payables,"454,068,036,687","215,044,268,224",,
- Provision for impairment of unlisted securities,- Provision for impairment of unlisted securities,- Provision for impairment of unlisted securities,"191,616,952,989","55,341,289,560",,
- Other increase adjustments,- Other increase adjustments,- Other increase adjustments,"22,734,432,466",-,,
,,,"5,873,252,017",-,,
Decrease:,Decrease:,Decrease:,,,,
- Gain from tax exempted activities – dividends,- Gain from tax exempted activities – dividends,- Gain from tax exempted activities – dividends,"(946,863,754,074)","(556,564,968,703)",,
- Expense for provision for impairment of securities during the year,- Expense for provision for impairment of securities during the year,- Expense for provision for impairment of securities during the year,"(63,285,503,310)","(26,941,672,800)",,
- Increase in revaluation of financial assets at FVTPL,- Increase in revaluation of financial assets at FVTPL,- Increase in revaluation of financial assets at FVTPL,"(126,813,270,876)","(54,363,171,591)",,
- Decrease in revaluation of outstanding covered warrant payables,- Decrease in revaluation of outstanding covered warrant payables,- Decrease in revaluation of outstanding covered warrant payables,"(377,307,374,295)","(177,162,004,311)",,
- Profit before tax from subsidiaries,- Profit before tax from subsidiaries,- Profit before tax from subsidiaries,"(159,281,244,677)","(93,766,534,226)",,
- Gain shared from associates,- Gain shared from associates,- Gain shared from associates,"(125,756,676,377)","(111,129,983,753)",,
- Other decrease adjustments,- Other decrease adjustments,- Other decrease adjustments,"(66,539,454,985)","(33,075,079,829)",,
,,,"(27,880,229,554)","(60,126,522,193)",,
Estimated current taxable income,Estimated current taxable income,Estimated current taxable income,"3,270,956,403,747","2,562,387,559,274",,
Corporate income tax rate,Estimated current taxable income > Corporate income tax rate,Corporate income tax rate,20%,20%,0.2,0.2
Estimated CIT expenses,Estimated CIT expenses,Estimated CIT expenses,"654,191,280,749","512,477,511,855",,
Estimated CIT expenses in subsidiaries,Estimated CIT expenses in subsidiaries,Estimated CIT expenses in subsidiaries,"18,960,893,874","21,181,456,986",,
CIT payable at the beginning of the year,CIT payable at the beginning of the year,CIT payable at the beginning of the year,"289,075,048,638","32,608,856,929",,
CIT adjustment in accordance with tax finalization,CIT adjustment in accordance with tax finalization,CIT adjustment in accordance with tax finalization,"21,692,656,277","9,695,804,238",,
CIT paid in the year,CIT paid in the year,CIT paid in the year,"(849,075,293,089)","(286,888,581,370)",,
CIT payable at the end of the year,CIT payable at the end of the year,CIT payable at the end of the year,"134,844,586,449","289,075,048,638",,
