row_label_raw,row_label_full,No.,Financial assets,Cost,Fair Value,Revaluation difference at the end of the year,Revaluation difference at the beginning of the year,Currency: VND Net gain/(loss) recorded this year,numeric__Financial assets,numeric__Cost,numeric__Fair Value,numeric__Revaluation difference at the end of the year,numeric__Revaluation difference at the beginning of the year,numeric__Currency: VND Net gain/(loss) recorded this year
1,1,1,FVTPL,"42,619,611,622,865","42,438,121,481,401","(181,490,141,464)","(104,729,479,072)","(76,760,662,392)",,,,,,
1,1,1,Listed shares and other listed securities,"1,613,732,331,633","1,623,995,879,664","10,263,548,031","(7,978,870,883)","18,242,418,914",,,,,,
1,1,1,VPB,"909,490,439,696","897,445,555,200","(12,044,884,496)","403,602,567","(12,448,487,063)",,,,,,
1,1,1,FPT,"53,253,124,050","56,449,857,500","3,196,733,450","(2,969,402,950)","6,166,136,400",,,,,,
1,1,1,MWG,"53,845,954,822","53,905,700,000","59,745,178","84,540,301","(24,795,123)",,,,,,
1,1,1,HPG,"49,303,194,457","48,783,651,150","(519,543,307)","1,292,589,931","(1,812,133,238)",,,,,,
1,1,1,Other listed shares and securities,"547,839,618,608","567,411,115,814","19,571,497,206","(6,790,200,732)","26,361,697,938",,,,,,
2,2,2,Listed shares used as hedging for covered warrants,"968,809,795,708","994,496,681,450","25,686,885,742","(170,319,723)","25,857,205,465",,,,,,
2,2,2,FPT,"342,455,410,919","363,012,677,500","20,557,266,581","(782,843,848)","21,340,110,429",,,,,,
2,2,2,HPG,"119,676,905,690","118,415,783,850","(1,261,121,840)","4,254,039,909","(5,515,161,749)",,,,,,
2,2,2,MBB,"128,052,299,746","131,098,881,300","3,046,581,554","33,275,212","3,013,306,342",,,,,,
2,2,2,MWG,"187,397,571,637","187,605,500,000","207,928,363","56,678,087","151,250,276",,,,,,
2,2,2,Other listed shares,"191,227,607,716","194,363,838,800","3,136,231,084","(3,731,469,083)","6,867,700,167",,,,,,
3,3,3,Unlisted shares and Fund certificates,"70,306,080,610","49,487,282,681","(20,818,797,929)","(12,140,974,849)","(8,677,823,080)",,,,,,
4,4,4,Listed bonds,"6,188,270,963,139","5,991,649,185,831","(196,621,777,308)","(84,439,313,617)","(112,182,463,691)",,,,,,
5,5,5,Unlisted bonds,"9,041,780,224,727","9,041,780,224,727",-,-,-,,,,,,
6,6,6,Certificates of deposit,"24,736,712,227,048","24,736,712,227,048",-,-,-,,,,,,
