row_label_raw,row_label_full,col_0,Current year,Currency: VND Previous year,numeric__Current year,numeric__Currency: VND Previous year
Deferred corporate income tax assets,Deferred corporate income tax assets,Deferred corporate income tax assets,Deferred corporate income tax assets,Deferred corporate income tax assets,,
Opening balance,Opening balance,Opening balance,"19,049,102,491","22,684,275,253",,
Deferred CIT arising from non-deductible provision for impairment of unlisted securities in the year,Deferred CIT arising from non-deductible provision for impairment of unlisted securities in the year,Deferred CIT arising from non-deductible provision for impairment of unlisted securities in the year,"4,627,367,510","180,350,982",,
Deferred CIT arising from decrease in revaluation of FVTPL and AFS financial assets that have not been tax-deductible,Deferred CIT arising from decrease in revaluation of FVTPL and AFS financial assets that have not been tax-deductible,Deferred CIT arising from decrease in revaluation of FVTPL and AFS financial assets that have not been tax-deductible,-,"4,439,572,576",,
Deferred CIT due to provision expenses for impairment of loans during the year,Deferred CIT due to provision expenses for impairment of loans during the year,Deferred CIT due to provision expenses for impairment of loans during the year,"(3,514,816)","(3,773,711)",,
Deferred CIT due to temporary taxable income,Deferred CIT due to temporary taxable income,Deferred CIT due to temporary taxable income,-,"(2,716,180,588)",,
Other deferred CIT,Other deferred CIT,Other deferred CIT,"328,150,696","(5,535,142,021)",,
Ending balance,Ending balance,Ending balance,"24,001,105,881","19,049,102,491",,
Deferred corporate income tax payables,Deferred corporate income tax payables,Deferred corporate income tax payables,Deferred corporate income tax payables,Deferred corporate income tax payables,,
Opening balance,Opening balance,Opening balance,"8,930,544,340","1,203,003,363",,
Deferred CIT arising from temporary non-taxable income from subsidiaries,Deferred CIT arising from temporary non-taxable income from subsidiaries,Deferred CIT arising from temporary non-taxable income from subsidiaries,"4,747,979,751","882,366,520",,
Deferred CIT arising from the increase in revaluation of financial assets at FVTPL,Deferred CIT arising from the increase in revaluation of financial assets at FVTPL,Deferred CIT arising from the increase in revaluation of financial assets at FVTPL,"7,574,503,277","3,177,530,123",,
Deferred CIT arising from revaluation of financial assets at AFS,Deferred CIT arising from revaluation of financial assets at AFS,Deferred CIT arising from revaluation of financial assets at AFS,"8,870,877,711","1,571,596,462",,
Deferred CIT arising from the decrease in revaluation of outstanding covered warrant payables,Deferred CIT arising from the decrease in revaluation of outstanding covered warrant payables,Deferred CIT arising from the decrease in revaluation of outstanding covered warrant payables,"(3,473,363,789)","8,607,395,529",,
Other deferred CIT,Other deferred CIT,Other deferred CIT,-,"(6,511,347,657)",,
Ending balance,Ending balance,Ending balance,"26,650,541,290","8,930,544,340",,
