row_label_raw,row_label_full,col_0,Current year,Previous year (restated),numeric__Current year,numeric__Previous year (restated)
Net profit after tax attributable to ordinary shareholders (VND),Net profit after tax attributable to ordinary shareholders (VND),Net profit after tax attributable to ordinary shareholders (VND),"2,835,023,120,364","2,134,608,899,616",,
Weighted average number of ordinary shares for calculation of earnings per share,Weighted average number of ordinary shares for calculation of earnings per share,Weighted average number of ordinary shares for calculation of earnings per share,"1,824,528,405","1,799,314,747",,
Earnings per share (VND),Weighted average number of ordinary shares for calculation of earnings per share > Earnings per share (VND),Earnings per share (VND),"1,554","1,186",1.554,1.186
