row_label_raw,row_label_full,Related parties,Relationships,numeric__Relationships
"NDH Investment Co., Ltd. and its subsidiary","NDH Investment Co., Ltd. and its subsidiary","NDH Investment Co., Ltd. and its subsidiary","SSI's Chairman is the owner cum Chairman of NDH Investment Co., Ltd.Member of the Board of Directors of SSI, Nguyen Duy Khanh, is the CEO of NDH Investment Co., Ltd.",
Daiwa Securities Group Inc. and its subsidiaries,Daiwa Securities Group Inc. and its subsidiaries,Daiwa Securities Group Inc. and its subsidiaries,Strategic shareholder holding approximately 15.34% voting capital of SSI,
The PAN Group JSC. and its subsidiaries,The PAN Group JSC. and its subsidiaries,The PAN Group JSC. and its subsidiaries,"Chairman of SSI is also the Chairman of the PAN Group, associate company",
Vietnam Digitalization and Healthcare Fund,Vietnam Digitalization and Healthcare Fund,Vietnam Digitalization and Healthcare Fund,Associate company,
"Saigon Dan Linh Real Estate Co., Ltd","Saigon Dan Linh Real Estate Co., Ltd","Saigon Dan Linh Real Estate Co., Ltd","Member of Board of Directors cum CEO of SSI is the Chairman of Saigon Dan Linh Real Estate Co., Ltd.",
"Nguyen Saigon Co., Ltd","Nguyen Saigon Co., Ltd","Nguyen Saigon Co., Ltd","The Chairman of Nguyen Saigon Co., Ltd is the brother of SSI's Chairman",
