row_label_raw,row_label_full,col_0,Ending balance,Currency: VNDBeginning balance,numeric__Ending balance,numeric__Currency: VNDBeginning balance
Software development,Software development,Software development,"9,468,825,357","26,152,274,558",,
Purchasing 19 levels office building in Hanoi,Purchasing 19 levels office building in Hanoi,Purchasing 19 levels office building in Hanoi,"372,171,111,110",-,,
Other construction in progress,Other construction in progress,Other construction in progress,"5,983,396,909","5,961,066,909",,
Total,Total,Total,"387,623,333,376","32,113,341,467",,
