row_label_raw,row_label_full,Parties,Transaction,Receivables/(Payables),Receivables/(Payables)_1,Receivables/(Payables)_2,Receivables/(Payables)_3,Currency: VND Revenue/ (Expenses),numeric__Transaction,numeric__Receivables/(Payables),numeric__Receivables/(Payables)_1,numeric__Receivables/(Payables)_2,numeric__Receivables/(Payables)_3,numeric__Currency: VND Revenue/ (Expenses)
Parties,Parties,Parties,Transaction,01 January 2024,Increase,Decrease,31 December 2024,Currency: VND Revenue/ (Expenses),,,,,,
Daiwa Securities Group Inc. and its subsidiaries,Daiwa Securities Group Inc. and its subsidiaries,Daiwa Securities Group Inc. and its subsidiaries,Revenue from securities transaction and other securities services,-,"2,313,385,440","(2,313,385,440)",-,"2,103,077,673",,,,,,
Daiwa Securities Group Inc. and its subsidiaries,Daiwa Securities Group Inc. and its subsidiaries,Daiwa Securities Group Inc. and its subsidiaries,Commission fee,"(1,364,361,670)","(8,049,658,172)","6,999,821,713","(2,414,198,129)","(8,049,658,172)",,,,,,
Daiwa Securities Group Inc. and its subsidiaries,Daiwa Securities Group Inc. and its subsidiaries,Daiwa Securities Group Inc. and its subsidiaries,Revenue from consulting contracts,"1,146,009,968","1,645,093,853","(2,430,176,998)","360,926,823","1,645,093,853",,,,,,
Daiwa Securities Group Inc. and its subsidiaries,Daiwa Securities Group Inc. and its subsidiaries,Daiwa Securities Group Inc. and its subsidiaries,Revenue from investment fund advisory SSI dividends,"1,554,756,985","5,496,226,326","(5,902,496,876)","1,148,486,435","5,407,410,658",,,,,,
Daiwa Securities Group Inc. and its subsidiaries,Daiwa Securities Group Inc. and its subsidiaries,Daiwa Securities Group Inc. and its subsidiaries,Other receivables,"861,384,241","(231,737,895,000)","231,737,895,000",-,-,,,,,,
"Nguyen Saigon Co., Ltd","Nguyen Saigon Co., Ltd","Nguyen Saigon Co., Ltd",Revenue from securities transaction and other securities services,-,"895,990,800","(1,757,375,041)",-,-,,,,,,
"Nguyen Saigon Co., Ltd","Nguyen Saigon Co., Ltd","Nguyen Saigon Co., Ltd",SSI dividends,-,"533,155,051","(533,155,051)",-,"533,155,051",,,,,,
"Saigon Dan Linh Real Estate Co., Ltd.","Saigon Dan Linh Real Estate Co., Ltd.","Saigon Dan Linh Real Estate Co., Ltd.",Deposit on management contracts and other Interest payable on deposit management contracts and other Office rental deposit,"(17,512,000,000)",-,"17,512,000,000",-,-,,,,,,
"Saigon Dan Linh Real Estate Co., Ltd.","Saigon Dan Linh Real Estate Co., Ltd.","Saigon Dan Linh Real Estate Co., Ltd.",Deposit on management contracts and other Interest payable on deposit management contracts and other Office rental deposit,"(59,540,800)","(163,737,200)","223,278,000",-,"(163,737,200)",,,,,,
"Saigon Dan Linh Real Estate Co., Ltd.","Saigon Dan Linh Real Estate Co., Ltd.","Saigon Dan Linh Real Estate Co., Ltd.",Deposit on management contracts and other Interest payable on deposit management contracts and other Office rental deposit,"10,000,000","681,524,000",-,"691,524,000",-,,,,,,
"Saigon Dan Linh Real Estate Co., Ltd.","Saigon Dan Linh Real Estate Co., Ltd.","Saigon Dan Linh Real Estate Co., Ltd.",Office rental expenses and other services SSI dividends,-,"(2,768,143,079)","2,736,876,116","(31,266,963)","(2,768,143,079)",,,,,,
"Saigon Dan Linh Real Estate Co., Ltd.","Saigon Dan Linh Real Estate Co., Ltd.","Saigon Dan Linh Real Estate Co., Ltd.",Office rental expenses and other services SSI dividends,-,"(58,901,068,000)","58,901,068,000",-,-,,,,,,
"NDH investment Co., Ltd. and its subsidiary","NDH investment Co., Ltd. and its subsidiary","NDH investment Co., Ltd. and its subsidiary",Revenue from securities transaction and other securities services,-,"2,049,721,444","(2,049,721,444)",-,"2,049,721,444",,,,,,
"NDH investment Co., Ltd. and its subsidiary","NDH investment Co., Ltd. and its subsidiary","NDH investment Co., Ltd. and its subsidiary",Portfolio management fee,"16,653,337","159,488,233","(168,666,438)","7,475,132","159,488,230",,,,,,
"NDH investment Co., Ltd. and its subsidiary","NDH investment Co., Ltd. and its subsidiary","NDH investment Co., Ltd. and its subsidiary",Securities selling transaction,-,"4,011,629,186,838","(4,011,629,186,838)",-,"9,141,729,658",,,,,,
"NDH investment Co., Ltd. and its subsidiary","NDH investment Co., Ltd. and its subsidiary","NDH investment Co., Ltd. and its subsidiary",Securities purchasing transaction,-,"(5,376,391,840,000)","5,376,391,840,000",-,-,,,,,,
"NDH investment Co., Ltd. and its subsidiary","NDH investment Co., Ltd. and its subsidiary","NDH investment Co., Ltd. and its subsidiary",SSI dividends,-,"(126,237,688,000)","126,237,688,000",-,-,,,,,,
