row_label_raw,row_label_full,col_0,Current year,Currency: VND Previous year,numeric__Current year,numeric__Currency: VND Previous year
Expenses for securities brokerage activities,Expenses for securities brokerage activities,Expenses for securities brokerage activities,"322,299,439,788","300,518,833,589",,
Expenses for custodian services,Expenses for custodian services,Expenses for custodian services,"41,393,115,080","41,922,402,416",,
Expenses on payroll and other employees' benefits,Expenses on payroll and other employees' benefits,Expenses on payroll and other employees' benefits,"706,150,717,394","774,667,313,034",,
"Expenses for social security, health insurance, union fee and unemployment insurance","Expenses for social security, health insurance, union fee and unemployment insurance","Expenses for social security, health insurance, union fee and unemployment insurance","46,530,534,752","46,973,933,323",,
Expense for office supplies,Expense for office supplies,Expense for office supplies,"1,172,424,305","1,287,634,906",,
Expense for tools and instruments,Expense for tools and instruments,Expense for tools and instruments,"1,826,074,949","6,710,448,319",,
Expenses for depreciation of fixed assets and investment properties,Expenses for depreciation of fixed assets and investment properties,Expenses for depreciation of fixed assets and investment properties,"62,364,310,898","64,476,643,518",,
Provision expenses,Provision expenses,Provision expenses,"168,520,995",-,,
Expenses for external services,Expenses for external services,Expenses for external services,"364,377,531,807","361,851,331,398",,
Capital expenditures,Capital expenditures,Capital expenditures,"9,551,117,268","58,131,534,006",,
Other expenses,Other expenses,Other expenses,"95,893,536,511","63,973,224,245",,
Total,Total,Total,"1,651,727,323,747","1,720,513,298,754",,
