row_label_raw,row_label_full,col_0,Brokerage and customer services,Proprietary trading,Treasury,Portfolio Management,Investment banking and others,Total,numeric__Brokerage and customer services,numeric__Proprietary trading,numeric__Treasury,numeric__Portfolio Management,numeric__Investment banking and others,numeric__Total
2024,2024,2024,2024,2024,2024,2024,2024,2024,2024.0,2024.0,2024.0,2024.0,2024.0,2024.0
1. Net income from securities trading activities (1),1. Net income from securities trading activities (1),1. Net income from securities trading activities (1),"3,804,622,320,654","4,094,096,663,173","505,440,677,425","156,602,900,096","150,317,163,189","8,711,079,724,537",,,,,,
2. Direct expenses,2. Direct expenses,2. Direct expenses,"2,036,730,899,904","2,420,915,019,902","211,372,298,599","82,115,550,721","114,668,834,763","4,865,802,603,889",,,,,,
3. Depreciation and allocated expenses,3. Depreciation and allocated expenses,3. Depreciation and allocated expenses,"243,511,957,048","12,673,484,753","19,311,976,767","16,294,480,397","9,957,738,021","301,749,636,986",,,,,,
Profit before tax,Profit before tax,Profit before tax,"1,524,379,463,702","1,660,508,158,518","274,756,402,059","58,192,868,978","25,690,590,405","3,543,527,483,662",,,,,,
Balance as at 31 December 2024,Balance as at 31 December 2024,Balance as at 31 December 2024,Balance as at 31 December 2024,Balance as at 31 December 2024,Balance as at 31 December 2024,Balance as at 31 December 2024,Balance as at 31 December 2024,Balance as at 31 December 2024,,,,,,
1. Direct segment assets,1. Direct segment assets,1. Direct segment assets,"22,034,907,599,753","45,244,318,209,882","4,846,420,725,849","62,728,745,251","325,341,567,385","72,513,716,848,120",,,,,,
2. Allocated segment assets,2. Allocated segment assets,2. Allocated segment assets,"601,063,761,836","31,282,128,869","47,668,005,895","40,219,879,974","24,578,815,540","744,812,592,114",,,,,,
3. Unallocated assets,3. Unallocated assets,3. Unallocated assets,,,,,,"248,773,119,488",,,,,,
Total assets,Total assets,Total assets,"22,635,971,361,589","45,275,600,338,751","4,894,088,731,744","102,948,625,225","349,920,382,925","73,507,302,559,722",,,,,,
4. Direct segment liabilities,4. Direct segment liabilities,4. Direct segment liabilities,"13,706,119,280,723","30,941,953,720,618","1,226,189,513,861","10,957,191,296","9,976,999,666","45,895,196,706,164",,,,,,
5. Allocated segment liabilities,5. Allocated segment liabilities,5. Allocated segment liabilities,"366,358,415,155","19,066,980,714","29,054,446,803","24,514,689,490","14,981,199,133","453,975,731,295",,,,,,
6. Unallocated liabilities,6. Unallocated liabilities,6. Unallocated liabilities,,,,,,"331,479,510,495",,,,,,
Total liabilities,Total liabilities,Total liabilities,"14,072,477,695,878","30,961,020,701,332","1,255,243,960,664","35,471,880,786","24,958,198,799","46,680,651,947,954",,,,,,
