row_label_raw,row_label_full,STT,Chỉ tiêu,Số đầu năm,Số phải nộp trong năm,Số đã nộp trong năm,Đơn vị tính: VND Số cuối năm,numeric__Chỉ tiêu,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp trong năm,numeric__Đơn vị tính: VND Số cuối năm
I,I,I,Thuế,359.826.258.949,1.503.053.645.516,(1.661.640.080.230),201.239.824.235,,359826258949.0,1503053645516.0,-1661640080230.0,201239824235.0
1,1,1,Thuế giá trị gia tăng Trong đó:- Thuế GTGT phải nộp- Thuế GTGT thu lại từ Nhà nước,328.996.265,12.734.725.789,(12.119.523.169),944.198.885,,328996265.0,12734725789.0,-12119523169.0,944198885.0
2,2,2,Thuế thu nhập doanh nghiệp (Thuyết minh số 40.1),289.075.048.638,694.844.830.901,(849.075.293.090),134.844.586.449,,289075048638.0,694844830901.0,-849075293090.0,134844586449.0
3,3,3,Các loại thuế khác,70.422.214.046,795.474.088.826,(800.445.263.971),65.451.038.901,,70422214046.0,795474088826.0,-800445263971.0,65451038901.0
3,3,3,Thuế thu nhập cá nhân,20.355.914.052,140.164.989.571,(144.080.647.485),16.440.256.138,,20355914052.0,140164989571.0,-144080647485.0,16440256138.0
3,3,3,Thuế thu nhập cá nhân nộp hộ nhà đầu tư,39.380.467.232,550.178.086.137,(548.489.361.996),41.069.191.373,,39380467232.0,550178086137.0,-548489361996.0,41069191373.0
3,3,3,Thuế môn bài,-,23.000.000,(23.000.000),-,,,23000000.0,-23000000.0,
3,3,3,Thuế khác (bao gồm thuế nhà thầu),10.685.832.762,105.108.013.118,(107.852.254.490),7.941.591.390,,10685832762.0,105108013118.0,-107852254490.0,7941591390.0
II,II,II,Các khoản (phải thu)/phải nộp khác,-,2.637.454.962,(2.640.099.567),(2.644.605),,,2637454962.0,-2640099567.0,-2644605.0
II,II,II,Tổng cộng,359.826.258.949,1.505.691.100.478,(1.664.280.179.797),201.237.179.630,,359826258949.0,1505691100478.0,-1664280179797.0,201237179630.0
