row_label_raw,row_label_full,Công ty liên quan,Giao dịch,Phải thu/(phải trả),Phải thu/(phải trả)_1,Phải thu/(phải trả)_2,Phải thu/(phải trả)_3,Doanh thu/ (chi phí),numeric__Giao dịch,numeric__Phải thu/(phải trả),numeric__Phải thu/(phải trả)_1,numeric__Phải thu/(phải trả)_2,numeric__Phải thu/(phải trả)_3,numeric__Doanh thu/ (chi phí)
Công ty liên quan,Công ty liên quan,Công ty liên quan,Giao dịch,Ngày 01 tháng 01 năm 2024,Tăng trong năm,Giảm trong năm,Ngày 31 tháng 12 năm 2024,Doanh thu/ (chi phí),,,,,,
Daiwa Securities Group Inc và các công ty con,Công ty liên quan > Daiwa Securities Group Inc và các công ty con,Daiwa Securities Group Inc và các công ty con,Doanh thu giao dịch và dịch vụ chứng khoán khác,-,2.313.385.440,(2.313.385.440),-,2.103.077.673,,,2313385440.0,-2313385440.0,,2103077673.0
Daiwa Securities Group Inc và các công ty con,Công ty liên quan > Daiwa Securities Group Inc và các công ty con,Daiwa Securities Group Inc và các công ty con,Phi hoa hống phải trả,(1.364.361.670),(8.049.658.172),6.999.821.713,(2.414.198.129),(8.049.658.172),,-1364361670.0,-8049658172.0,6999821713.0,-2414198129.0,-8049658172.0
Daiwa Securities Group Inc và các công ty con,Công ty liên quan > Daiwa Securities Group Inc và các công ty con,Daiwa Securities Group Inc và các công ty con,Doanh thu hợp đồng tư vấn,1.146.009.968,1.645.093.853,(2.430.176.998),360.926.823,1.645.093.853,,1146009968.0,1645093853.0,-2430176998.0,360926823.0,1645093853.0
Daiwa Securities Group Inc và các công ty con,Công ty liên quan > Daiwa Securities Group Inc và các công ty con,Daiwa Securities Group Inc và các công ty con,Doanh thu tư vấn đầu tư quỹ,1.554.756.985,5.496.226.326,(5.902.496.876),1.148.486.435,5.407.410.658,,1554756985.0,5496226326.0,-5902496876.0,1148486435.0,5407410658.0
Daiwa Securities Group Inc và các công ty con,Công ty liên quan > Daiwa Securities Group Inc và các công ty con,Daiwa Securities Group Inc và các công ty con,Cổ tức SSI,-,(231.737.895.000),231.737.895.000,-,-,,,-231737895000.0,231737895000.0,,
Daiwa Securities Group Inc và các công ty con,Công ty liên quan > Daiwa Securities Group Inc và các công ty con,Daiwa Securities Group Inc và các công ty con,Phải thu khác,861.384.241,895.990.800,(1.757.375.041),-,-,,861384241.0,895990800.0,-1757375041.0,,
Công ty TNHH MTV Nguyễn Sài Gòn,Công ty liên quan > Công ty TNHH MTV Nguyễn Sài Gòn,Công ty TNHH MTV Nguyễn Sài Gòn,Doanh thu giao dịch và dịch vụ chứng khoán khác,-,533.155.051,(533.155.051),-,533.155.051,,,533155051.0,-533155051.0,,533155051.0
Công ty TNHH MTV Nguyễn Sài Gòn,Công ty liên quan > Công ty TNHH MTV Nguyễn Sài Gòn,Công ty TNHH MTV Nguyễn Sài Gòn,Cổ tức SSI,-,(2.500.001.000),2.500.001.000,-,-,,,-2500001000.0,2500001000.0,,
Công ty TNHH Sài Gòn Đan Linh,Công ty liên quan > Công ty TNHH Sài Gòn Đan Linh,Công ty TNHH Sài Gòn Đan Linh,Nhận hợp đồng quản lý tiền gửi và khác,(17.512.000.000),-,17.512.000.000,-,-,,-17512000000.0,,17512000000.0,,
Công ty TNHH Sài Gòn Đan Linh,Công ty liên quan > Công ty TNHH Sài Gòn Đan Linh,Công ty TNHH Sài Gòn Đan Linh,Lãi hợp đồng quản lý tiền gửi và khác,(59.540.800),(163.737.200),223.278.000,-,(163.737.200),,-59540800.0,-163737200.0,223278000.0,,-163737200.0
Công ty TNHH Sài Gòn Đan Linh,Công ty liên quan > Công ty TNHH Sài Gòn Đan Linh,Công ty TNHH Sài Gòn Đan Linh,Đặt cọc thuê văn phòng,10.000.000,681.524.000,-,691.524.000,-,,10000000.0,681524000.0,,691524000.0,
Công ty TNHH Sài Gòn Đan Linh,Công ty liên quan > Công ty TNHH Sài Gòn Đan Linh,Công ty TNHH Sài Gòn Đan Linh,Chi phí thuê văn phòng và các dịch vụ khác,-,(2.768.143.079),2.736.876.116,(31.266.963),(2.768.143.079),,,-2768143079.0,2736876116.0,-31266963.0,-2768143079.0
Công ty TNHH Sài Gòn Đan Linh,Công ty liên quan > Công ty TNHH Sài Gòn Đan Linh,Công ty TNHH Sài Gòn Đan Linh,Cổ tức SSI,-,(58.901.068.000),58.901.068.000,-,-,,,-58901068000.0,58901068000.0,,
Công ty TNHH Đầu tư NDH và công ty con,Công ty liên quan > Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH Đầu tư NDH và công ty con,Doanh thu giao dịch và dịch vụ chứng khoán khác,-,2.049.721.444,(2.049.721.444),-,2.049.721.444,,,2049721444.0,-2049721444.0,,2049721444.0
