row_label_raw,row_label_full,col_0,Ending balance,Currency: VNDBeginning balance,numeric__Ending balance,numeric__Currency: VNDBeginning balance
Deferred income tax assets,Deferred income tax assets,Deferred income tax assets,Deferred income tax assets,Deferred income tax assets,,
Temporary non-deductible taxable provision for impairment of unlisted shares,Temporary non-deductible taxable provision for impairment of unlisted shares,Temporary non-deductible taxable provision for impairment of unlisted shares,"9,055,817,812","4,428,450,302",,
Temporary non-deductible taxable from the decrease in revaluation of financial assets at FVTPL and AFS,Temporary non-deductible taxable from the decrease in revaluation of financial assets at FVTPL and AFS,Temporary non-deductible taxable from the decrease in revaluation of financial assets at FVTPL and AFS,"4,439,572,576","4,439,572,576",,
Temporary non-deductible taxable provision for impairment of loans,Temporary non-deductible taxable provision for impairment of loans,Temporary non-deductible taxable provision for impairment of loans,"7,897,516","11,412,332",,
Temporary taxable expenses incurred,Temporary taxable expenses incurred,Temporary taxable expenses incurred,"400,000,000","400,000,000",,
Unearned revenue arising from financial statement consolidation,Unearned revenue arising from financial statement consolidation,Unearned revenue arising from financial statement consolidation,"10,097,817,977","9,769,667,281",,
Total,Total,Total,"24,001,105,881","19,049,102,491",,
Deferred income tax payables,Deferred income tax payables,Deferred income tax payables,Deferred income tax payables,Deferred income tax payables,,
Deferred income tax arising from the increase in revaluation of financial assets at FVTPL,Deferred income tax arising from the increase in revaluation of financial assets at FVTPL,Deferred income tax arising from the increase in revaluation of financial assets at FVTPL,"11,223,093,875","3,648,590,598",,
Deferred income tax arising from revaluation of financial assets at AFS,Deferred income tax arising from revaluation of financial assets at AFS,Deferred income tax arising from revaluation of financial assets at AFS,"8,870,877,711",-,,
Deferred income tax arising from the decrease in revaluation of outstanding covered warrant payables,Deferred income tax arising from the decrease in revaluation of outstanding covered warrant payables,Deferred income tax arising from the decrease in revaluation of outstanding covered warrant payables,"7,437,571,090","10,910,934,879",,
Deferred income tax arising from temporary non-taxable income of subsidiaries,Deferred income tax arising from temporary non-taxable income of subsidiaries,Deferred income tax arising from temporary non-taxable income of subsidiaries,"(881,001,386)","(5,628,981,137)",,
Total,Total,Total,"26,650,541,290","8,930,544,340",,
