row_label_raw,row_label_full,col_0,Current year,Currency: VNDPrevious year,numeric__Current year,numeric__Currency: VNDPrevious year
1. Undistributed realized profit at the beginning of the year (as at 01 January 2024 and 01 January 2023),1. Undistributed realized profit at the beginning of the year (as at 01 January 2024 and 01 January 2023),1. Undistributed realized profit at the beginning of the year (as at 01 January 2024 and 01 January 2023),"4,764,972,942,282","4,080,124,452,649",,
2. Unrealized loss at the end of the year (as at 31 December 2024 and 31 December 2023),2. Unrealized loss at the end of the year (as at 31 December 2024 and 31 December 2023),2. Unrealized loss at the end of the year (as at 31 December 2024 and 31 December 2023),"(258,657,302,794)","(128,997,835,405)",,
3. Realized profit of the year,3. Realized profit of the year,3. Realized profit of the year,"2,939,900,408,631","2,237,380,088,847",,
4. Undistributed profit belonging to shareholders at the end of the year ((4) = (1) + (2) + (3)),4. Undistributed profit belonging to shareholders at the end of the year ((4) = (1) + (2) + (3)),4. Undistributed profit belonging to shareholders at the end of the year ((4) = (1) + (2) + (3)),"7,446,216,048,119","6,188,506,706,091",,
5. Reserves appropriated,5. Reserves appropriated,5. Reserves appropriated,"(152,662,804,998)","(50,979,596,886)",,
"- Bonus, welfare and charity funds","- Bonus, welfare and charity funds","- Bonus, welfare and charity funds","(152,662,804,998)","(50,979,596,886)",,
6. Other decreases in undistributed profits,6. Other decreases in undistributed profits,6. Other decreases in undistributed profits,"(17,885,027,724)","(2,413,333,335)",,
7. Profit distributed to shareholders during the year under Resolution of the General Meeting of Shareholders,7. Profit distributed to shareholders during the year under Resolution of the General Meeting of Shareholders,7. Profit distributed to shareholders during the year under Resolution of the General Meeting of Shareholders,"(1,509,138,669,000)","(1,499,138,669,000)",,
- Dividends in cash,- Dividends in cash,- Dividends in cash,"(1,509,138,669,000)","(1,499,138,669,000)",,
Maximal profit available for distribution to shareholders,Maximal profit available for distribution to shareholders,Maximal profit available for distribution to shareholders,"5,766,529,546,397","4,635,975,106,870",,
