row_label_raw,row_label_full,col_0,Interest rate %/ per annum,Beginning balance VND,Addition during the year VND,Repayment during the year VND,Ending balance VND,numeric__Interest rate %/ per annum,numeric__Beginning balance VND,numeric__Addition during the year VND,numeric__Repayment during the year VND,numeric__Ending balance VND
Bank overdrafts,Bank overdrafts,Bank overdrafts,Under 8.9,"49,450,845,932","101,723,405,795,306","99,281,871,942,101","2,490,984,699,137",,,,,
Short-term borrowings from banks,Short-term borrowings from banks,Short-term borrowings from banks,Under 7.14,"43,119,480,232,745","155,867,135,836,271","155,975,631,069,016","43,010,985,000,000",,,,,
- Vietnam Joint Stock Commercial Bank for Industry and Trade,- Vietnam Joint Stock Commercial Bank for Industry and Trade,- Vietnam Joint Stock Commercial Bank for Industry and Trade,,"9,980,000,000,000","34,293,000,000,000","34,691,000,000,000","9,582,000,000,000",,,,,
- Joint Stock Commercial Bank for Foreign Trade of Vietnam,- Joint Stock Commercial Bank for Foreign Trade of Vietnam,- Joint Stock Commercial Bank for Foreign Trade of Vietnam,,"9,275,500,000,000","24,200,500,000,000","22,955,000,000,000","10,521,000,000,000",,,,,
- Joint Stock Commercial Bank for Investment and Development of Vietnam,- Joint Stock Commercial Bank for Investment and Development of Vietnam,- Joint Stock Commercial Bank for Investment and Development of Vietnam,,"7,900,000,000,000","22,843,500,000,000","21,809,000,000,000","8,934,500,000,000",,,,,
- Other banks (*),- Other banks (*),- Other banks (*),,"12,468,600,000,000","70,347,010,000,000","68,842,125,000,000","13,973,485,000,000",,,,,
- Other borrowings,- Other borrowings,- Other borrowings,,"3,495,380,232,745","4,183,125,836,271","7,678,506,069,016",-,,,,,
Total,Total,Total,,"43,168,931,078,677","257,590,541,631,577","255,257,503,011,117","45,501,969,699,137",,,,,
