row_label_raw,row_label_full,col_0,Ending balance,Currency: VNDOpening balance,numeric__Ending balance,numeric__Currency: VNDOpening balance
Cash,Cash,Cash,"208,969,991,625","478,598,469,030",,
- Cash on hand,- Cash on hand,- Cash on hand,"1,056,282,771","960,029,526",,
- Cash at banks,- Cash at banks,- Cash at banks,"207,913,708,854","477,638,439,504",,
Cash equivalents,Cash equivalents,Cash equivalents,"30,030,246,575","15,307,059,179",,
- Cash at banks with original maturity of less than 3 months,- Cash at banks with original maturity of less than 3 months,- Cash at banks with original maturity of less than 3 months,"30,030,246,575","15,307,059,179",,
Total,Total,Total,"239,000,238,200","493,905,528,209",,
