row_label_raw,row_label_full,Assets,Ending balance,Beginning balance,Collaterals for,numeric__Ending balance,numeric__Beginning balance,numeric__Collaterals for
Short-term,Short-term,Short-term,"37,241,587,622,128","34,532,623,375,714",,,,
Financial assets at FVTPL- par value (Note 7.1),Financial assets at FVTPL- par value (Note 7.1),Financial assets at FVTPL- par value (Note 7.1),"33,062,000,000,000","29,323,400,000,000",Collaterals forshort-termborrowings,,,
Term deposits withremaining maturity of lessthan 1 year (Note 7.3),Term deposits withremaining maturity of lessthan 1 year (Note 7.3),Term deposits withremaining maturity of lessthan 1 year (Note 7.3),"3,320,000,000,000","4,700,000,000,000",Collaterals forshort-termborrowings,,,
Certificates of deposit withremaining maturity of lessthan 1 year (Note 7.3),Certificates of deposit withremaining maturity of lessthan 1 year (Note 7.3),Certificates of deposit withremaining maturity of lessthan 1 year (Note 7.3),-,"100,000,000,000",Collaterals forshort-termborrowings,,,
Term deposits withremaining maturity of lessthan 1 year (Note 7.3),Term deposits withremaining maturity of lessthan 1 year (Note 7.3),Term deposits withremaining maturity of lessthan 1 year (Note 7.3),"9,587,622,128","9,223,375,714",Guarantee contract,,,
Certificates of deposit atFVTPL (Note 7.1),Certificates of deposit atFVTPL (Note 7.1),Certificates of deposit atFVTPL (Note 7.1),"850,000,000,000","400,000,000,000",Collaterals forcovered warrants,,,
Long-term,Long-term,Long-term,"1,185,801,200,000","2,365,801,200,000",,,,
Bonds with remainingmaturity of more than 1year (par value) (Note 11),Bonds with remainingmaturity of more than 1year (par value) (Note 11),Bonds with remainingmaturity of more than 1year (par value) (Note 11),"600,000,000,000","2,100,000,000,000",Collaterals forshort-termborrowings,,,
Term deposits withremaining maturity of morethan 1 year (Note 11),Term deposits withremaining maturity of morethan 1 year (Note 11),Term deposits withremaining maturity of morethan 1 year (Note 11),"320,000,000,000",-,Collaterals forshort-termborrowings,,,
Investments in associates(par value) (Note 11),Investments in associates(par value) (Note 11),Investments in associates(par value) (Note 11),,,Collaterals forshort-termborrowings,,,
,,,"265,801,200,000","265,801,200,000",,,,
Total,Total,Total,"38,427,388,822,128","36,898,424,575,714",,,,
