row_label_raw,row_label_full,col_0,Share capital,Share premium,Treasury shares,Difference from revaluation of assets at fair value,Foreign exchange rate differences,Charter capital supplementary reserve,Undistributed profit,Non-controlling interests,Total,numeric__Share capital,numeric__Share premium,numeric__Treasury shares,numeric__Difference from revaluation of assets at fair value,numeric__Foreign exchange rate differences,numeric__Charter capital supplementary reserve,numeric__Undistributed profit,numeric__Non-controlling interests,numeric__Total
Beginning balance,Beginning balance,Beginning balance,"15,011,301,370,000","3,299,208,472,644","(19,115,006,409)","(3,793,033,106)","55,243,155,795","61,252,419,507","4,696,261,511,253","140,533,221,129","23,240,892,110,813",,,,,,,,,
Issuance of shares to increase capital under the employee stock ownership plan according to Resolution No. 01/2023/NQ-DHDCD dated 25 April 2023 of the General Meeting of Shareholders,Issuance of shares to increase capital under the employee stock ownership plan according to Resolution No. 01/2023/NQ-DHDCD dated 25 April 2023 of the General Meeting of Shareholders,Issuance of shares to increase capital under the employee stock ownership plan according to Resolution No. 01/2023/NQ-DHDCD dated 25 April 2023 of the General Meeting of Shareholders,"100,000,000,000",-,-,-,-,-,-,-,"100,000,000,000",,,,,,,,,
Welfare (2% profit after tax) and bonus fund (5% profit after tax) reserve according to Resolution No. 01/2024/NQ-DHDCD dated 25 April 2024 of the General Meeting of Shareholders,Welfare (2% profit after tax) and bonus fund (5% profit after tax) reserve according to Resolution No. 01/2024/NQ-DHDCD dated 25 April 2024 of the General Meeting of Shareholders,Welfare (2% profit after tax) and bonus fund (5% profit after tax) reserve according to Resolution No. 01/2024/NQ-DHDCD dated 25 April 2024 of the General Meeting of Shareholders,-,-,-,-,-,-,"(152,662,804,998)",-,"(152,662,804,998)",,,,,,,,,
SSI dividend 2023 according to Resolution No. 01/2024/NQ-DHDCD dated 25/04/2024 and Resolution No. 15/2024/NQ-DHDCD dated 04/09/2024,SSI dividend 2023 according to Resolution No. 01/2024/NQ-DHDCD dated 25/04/2024 and Resolution No. 15/2024/NQ-DHDCD dated 04/09/2024,SSI dividend 2023 according to Resolution No. 01/2024/NQ-DHDCD dated 25/04/2024 and Resolution No. 15/2024/NQ-DHDCD dated 04/09/2024,-,-,-,-,-,-,"(1,509,138,669,000)",-,"(1,509,138,669,000)",,,,,,,,,
Issuance of shares to increase equity capital and public offering according to Resolution No. 01/2024/NQ-DHDCD dated 25/04/2024 and Resolution No. 15/2024/NQ-HDQT dated 04/09/2024,Issuance of shares to increase equity capital and public offering according to Resolution No. 01/2024/NQ-DHDCD dated 25/04/2024 and Resolution No. 15/2024/NQ-HDQT dated 04/09/2024,Issuance of shares to increase equity capital and public offering according to Resolution No. 01/2024/NQ-DHDCD dated 25/04/2024 and Resolution No. 15/2024/NQ-HDQT dated 04/09/2024,"4,527,337,810,000","(2,205,377,385,493)",-,-,-,"(58,252,419,507)",-,-,"2,263,708,005,000",,,,,,,,,
Issuance service costs,Issuance service costs,Issuance service costs,-,"(290,166,634)",-,-,-,-,-,-,"(290,166,634)",,,,,,,,,
Revaluation of AFS financial assets,Revaluation of AFS financial assets,Revaluation of AFS financial assets,-,-,-,"35,483,510,846",-,-,-,-,"35,483,510,846",,,,,,,,,
