row_label_raw,row_label_full,Code,ITEMS,Notes,Current year,Previous year,numeric__ITEMS,numeric__Notes,numeric__Current year,numeric__Previous year
,,,I. OPERATING INCOME,,,,,,,
01,01,01,1. Gain from financial assets at fair value through profit or loss (FVTPL),,"4,021,594,603,243","3,166,865,050,788",,,,
01.1,01 > 01.1,01.1,1.1. Gain from disposal of financial assets at FVTPL,31.1,"1,418,748,422,649","1,087,667,751,126",,311.0,,
01.2,01 > 01.2,01.2,1.2. Gain from revaluation of financial assets at FVTPL,31.2,"377,307,374,295","177,162,004,311",,312.0,,
01.3,01 > 01.3,01.3,"1.3. Dividend, interest income from financial assets at FVTPL",31.4,"2,066,257,561,622","1,808,268,761,125",,314.0,,
01.4,01 > 01.4,01.4,1.4. Gain from revaluation of outstanding covered warrant payables,31.3,"159,281,244,677","93,766,534,226",,313.0,,
02,01 > 02,02,2. Gain from held-to-maturity (HTM) investments,31.4,"327,941,173,503","473,679,676,164",,314.0,,
03,01 > 03,03,3. Gain from loans and receivables,31.4,"2,079,370,965,194","1,568,443,996,157",,314.0,,
04,01 > 04,04,4. Gain from available-for-sale (AFS) financial assets,31.4,"5,855,498,234","6,001,639,582",,314.0,,
06,06,06,5. Revenue from brokerage services,,"1,667,430,605,344","1,502,190,490,196",,,,
07,07,07,6. Revenue from underwriting and issuance agency services,,"10,168,863,013","21,536,573,014",,,,
08,08,08,7. Revenue from securities investment advisory services,,"37,304,320,878","42,207,836,170",,,,
09,09,09,8. Revenue from securities custodian services,,"37,071,576,990","39,690,597,703",,,,
10,10,10,9. Revenue from financial advisory services,,"24,743,117,630","28,667,066,626",,,,
11,10 > 11,11,10. Revenue from other operating activities,33,"317,798,851,445","308,409,667,106",,33.0,,
20,20,20,Total operating revenue,,"8,529,279,575,474","7,157,692,593,506",,,,
,,,II. OPERATING EXPENSES,,,,,,,
21,21,21,1. Loss from financial assets at fair value through profit or loss (FVTPL),,"1,458,465,074,277","656,269,437,300",,,,
21.1,21 > 21.1,21.1,1.1. Loss from disposal of financial assets at FVTPL,31.1,"803,200,303,869","382,339,943,197",,311.0,,
21.2,21 > 21.2,21.2,1.2. Loss from revaluation of financial assets at FVTPL,31.2,"454,068,036,687","215,044,268,224",,312.0,,
21.3,21.3,21.3,1.3. Transaction costs of acquisition of financial assets at FVTPL,,"9,579,780,732","3,543,936,319",,,,
21.4,21.3 > 21.4,21.4,1.4. Loss from revaluation of outstanding covered warrant payables,31.3,"191,616,952,989","55,341,289,560",,313.0,,
23,23,23,2. Loss and differences from revaluation at fair value of available-for-sale financial assets (AFS) arising from reclassification,,-,"25,722,584,854",,,,
24,23 > 24,24,3. Provision expenses for diminution in value and impairment of financial assets and doubtful debts and borrowing costs of loans,32,"34,736,394,527","8,537,006",,32.0,,
26,26,26,4. Expenses for proprietary trading activities,,"143,032,816,397","32,051,451,911",,,,
27,26 > 27,27,5. Expenses for brokerage services,34,"1,310,646,611,682","1,316,274,309,694",,34.0,,
28,26 > 28,28,6. Expenses for underwriting and issuance agency services,34,"9,539,948,546","9,919,666,680",,34.0,,
29,26 > 29,29,7. Expenses for securities investment advisory services,34,"19,990,738,187","23,319,014,840",,34.0,,
30,26 > 30,30,8. Expenses for securities custodian services,34,"41,393,115,080","44,821,941,973",,34.0,,
31,26 > 31,31,9. Expenses for financial advisory services,34,"26,492,570,900","33,133,552,301",,34.0,,
32,26 > 32,32,10. Other operating expenses,"34,35","243,664,339,352","293,044,813,266",,34.35,,
40,40,40,Total operating expenses,,"3,287,961,608,948","2,434,565,309,825",,,,
