row_label_raw,row_label_full,col_0,Ending balance,Currency: VNDOpening balance,numeric__Ending balance,numeric__Currency: VNDOpening balance
1. Receivables from disposal of financial assetsIn which: doubtful receivable from disposal of financial assets unlikely to be collected,1. Receivables from disposal of financial assetsIn which: doubtful receivable from disposal of financial assets unlikely to be collected,1. Receivables from disposal of financial assetsIn which: doubtful receivable from disposal of financial assets unlikely to be collected,"507,766,978,808","267,997,744,808",,
1. Receivables from disposal of financial assetsIn which: doubtful receivable from disposal of financial assets unlikely to be collected,1. Receivables from disposal of financial assetsIn which: doubtful receivable from disposal of financial assets unlikely to be collected,1. Receivables from disposal of financial assetsIn which: doubtful receivable from disposal of financial assets unlikely to be collected,"231,621,436,808","231,621,436,808",,
2. Receivables and accruals from dividends and interest income from financial assets (*),2. Receivables and accruals from dividends and interest income from financial assets (*),2. Receivables and accruals from dividends and interest income from financial assets (*),"292,847,293,114","321,754,111,551",,
3. Advances to suppliers- Advance payment for purchasing securities- Advance payment for purchasing real estate of the subsidiary- Other advances,3. Advances to suppliers- Advance payment for purchasing securities- Advance payment for purchasing real estate of the subsidiary- Other advances,3. Advances to suppliers- Advance payment for purchasing securities- Advance payment for purchasing real estate of the subsidiary- Other advances,"927,764,853,829795,000,000,00088,378,500,00044,386,353,829","32,286,430,398-32,286,430,398",,
4. Receivables from services provided by the CompanyIn which: doubtful receivables from services provided by the Company,4. Receivables from services provided by the CompanyIn which: doubtful receivables from services provided by the Company,4. Receivables from services provided by the CompanyIn which: doubtful receivables from services provided by the Company,"30,201,748,046566,622,498","20,702,848,950250,000,000",,
5. Other receivables,5. Other receivables,5. Other receivables,"210,104,950,765","192,247,001,763",,
6. Provision for impairment of receivables,6. Provision for impairment of receivables,6. Provision for impairment of receivables,"(232,039,957,803)","(231,871,436,808)",,
Total,Total,Total,"1,736,645,866,759","603,116,700,662",,
