row_label_raw,row_label_full,col_0,Brokerage and customer services,Proprietary trading,Treasury,Portfolio Management,Investment banking and others,Total,numeric__Brokerage and customer services,numeric__Proprietary trading,numeric__Treasury,numeric__Portfolio Management,numeric__Investment banking and others,numeric__Total
2023,2023,2023,2023,2023,2023,2023,2023,2023,2023.0,2023.0,2023.0,2023.0,2023.0,2023.0
1. Net income from securities trading activities,1. Net income from securities trading activities,1. Net income from securities trading activities,"3,133,307,476,416","3,206,337,173,901","672,260,386,073","145,696,876,859","125,808,795,375","7,283,410,708,624",,,,,,
2. Direct expenses,2. Direct expenses,2. Direct expenses,"1,879,774,201,579","1,599,368,765,919","429,121,180,145","62,951,059,512","101,921,262,104","4,073,136,469,259",,,,,,
3. Depreciation and allocated expenses,3. Depreciation and allocated expenses,3. Depreciation and allocated expenses,"264,769,721,033","32,191,946,957","23,510,972,497","22,425,850,688","18,808,777,997","361,707,269,172",,,,,,
Profit before tax,Profit before tax,Profit before tax,"988,763,553,804","1,574,776,461,025","219,628,233,431","60,319,966,659","5,078,755,274","2,848,566,970,193",,,,,,
Balance as at 31 December 2023,Balance as at 31 December 2023,Balance as at 31 December 2023,Balance as at 31 December 2023,Balance as at 31 December 2023,Balance as at 31 December 2023,Balance as at 31 December 2023,Balance as at 31 December 2023,Balance as at 31 December 2023,,,,,,
1. Direct segment assets,1. Direct segment assets,1. Direct segment assets,"15,168,708,348,625","45,722,961,914,322","7,146,111,634,126","27,279,780,054","206,523,389,437","68,271,585,066,564",,,,,,
2. Allocated segment assets,2. Allocated segment assets,2. Allocated segment assets,"325,328,507,618","39,554,968,823","28,888,460,376","27,555,146,820","23,110,768,301","444,437,851,938",,,,,,
3. Unallocated assets,3. Unallocated assets,3. Unallocated assets,,,,,,"525,304,184,146",,,,,,
Total assets,Total assets,Total assets,"15,494,036,856,243","45,762,516,883,145","7,175,000,094,502","54,834,926,874","229,634,157,738","69,241,327,102,648",,,,,,
4. Direct segment liabilities,4. Direct segment liabilities,4. Direct segment liabilities,"10,848,000,563,524","31,007,696,148,338","3,316,184,623,380","3,776,201,551","10,737,079,324","45,186,394,616,117",,,,,,
5. Allocated segment liabilities,5. Allocated segment liabilities,5. Allocated segment liabilities,"301,189,178,212","36,619,995,712","26,744,940,688","25,510,558,810","21,395,952,551","411,460,625,973",,,,,,
6. Unallocated liabilities,6. Unallocated liabilities,6. Unallocated liabilities,,,,,,"402,579,749,745",,,,,,
Total liabilities,Total liabilities,Total liabilities,"11,149,189,741,736","31,044,316,144,050","3,342,929,564,068","29,286,760,361","32,133,031,875","46,000,434,991,835",,,,,,
