row_label_raw,row_label_full,No.,Items,Beginning balance,Payable in the year,Paid in the year,Currency: VNDEnding balance,numeric__Items,numeric__Beginning balance,numeric__Payable in the year,numeric__Paid in the year,numeric__Currency: VNDEnding balance
I,I,I,Tax,"359,826,258,949","1,503,053,645,516","(1,661,640,080,230)","201,239,824,235",,,,,
1,1,1,Value added taxIn which:- Value added tax payables- Value added tax receivables fromthe Government,"328,996,265","12,734,725,789","(12,119,523,169)","944,198,885",,,,,
1,1,1,Value added taxIn which:- Value added tax payables- Value added tax receivables fromthe Government,"328,996,265",-,-,"997,499,145",,,,,
1,1,1,Value added taxIn which:- Value added tax payables- Value added tax receivables fromthe Government,-,-,-,"(53,300,260)",,,,,
2,2,2,Corporate income tax (Note 40.1),"289,075,048,638","694,844,830,901","(849,075,293,090)","134,844,586,449",,,,,
3,3,3,Other taxes,"70,422,214,046","795,474,088,826","(800,445,263,971)","65,451,038,901",,,,,
3,3,3,Personal income tax,"20,355,914,052","140,164,989,571","(144,080,647,485)","16,440,256,138",,,,,
3,3,3,Personal income tax on behalf of investors,"39,380,467,232","550,178,086,137","(548,489,361,996)","41,069,191,373",,,,,
3,3,3,Business registration tax,-,"23,000,000","(23,000,000)",-,,,,,
3,3,3,Others (include foreign contractor tax),"10,685,832,762","105,108,013,118","(107,852,254,490)","7,941,591,390",,,,,
II,II,II,Other obligatory (receivables)/payables,-,"2,637,454,962","(2,640,099,567)","(2,644,605)",,,,,
II,II,II,Total,"359,826,258,949","1,505,691,100,478","(1,664,280,179,797)","201,237,179,630",,,,,
