row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thăng dư vốn cổ phần,Cổ phiếu quỹ,Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,Chênh lệch tỷ giả hối đoái,Quỹ dư trữ bổ sung vốn điều lệ,Lợi nhuận chure phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thăng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,numeric__Chênh lệch tỷ giả hối đoái,numeric__Quỹ dư trữ bổ sung vốn điều lệ,numeric__Lợi nhuận chure phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
Chênh lệch tỷ giá chuyển đổi báo cáo tài chính công ty con phát sinh trong kỳ,Chênh lệch tỷ giá chuyển đổi báo cáo tài chính công ty con phát sinh trong kỳ,Chênh lệch tỷ giá chuyển đổi báo cáo tài chính công ty con phát sinh trong kỳ,-,-,-,-,16.934.434.751,-,-,-,16.934.434.751,,,,,16934434751.0,,,,16934434751.0
Chênh lệch phát sinh do công ty liên kết thay đổi tỷ lệ sở hữu công ty con của công ty liên kết,Chênh lệch phát sinh do công ty liên kết thay đổi tỷ lệ sở hữu công ty con của công ty liên kết,Chênh lệch phát sinh do công ty liên kết thay đổi tỷ lệ sở hữu công ty con của công ty liên kết,-,-,-,-,-,-,(15.437.694.390),-,(15.437.694.390),,,,,,,-15437694390.0,,-15437694390.0
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,-,-,-,-,-,-,2.845.109.032.672,-,2.845.109.032.672,,,,,,,2845109032672.0,,2845109032672.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,-,-,-,-,-,-,(10.085.912.307),10.085.912.307,-,,,,,,,-10085912307.0,10085912307.0,
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,-,-,2.052.852.708,-,2.052.852.708,,,,,,,2052852708.0,,2052852708.0
Số cuối năm,Số cuối năm,Số cuối năm,19.638.639.180.000,1.093.540.920.517,(19.115.006.409),31.690.477.740,72.177.590.546,3.000.000.000,5.856.098.315.938,150.619.133.436,26.826.650.611.768,19638639180000.0,1093540920517.0,-19115006409.0,31690477740.0,72177590546.0,3000000000.0,5856098315938.0,150619133436.0,26826650611768.0
