row_label_raw,row_label_full,col_0,Before restatement,After restatement,numeric__Before restatement,numeric__After restatement
Net profit after tax attributable to ordinary shareholders (VND),Net profit after tax attributable to ordinary shareholders (VND),Net profit after tax attributable to ordinary shareholders (VND),"2,292,781,385,416","2,134,608,899,616",,
Weighted average number of ordinary shares for calculation of earnings per share,Weighted average number of ordinary shares for calculation of earnings per share,Weighted average number of ordinary shares for calculation of earnings per share,"1,497,494,833","1,799,314,747",,
Earnings per share (VND),Weighted average number of ordinary shares for calculation of earnings per share > Earnings per share (VND),Earnings per share (VND),"1,531","1,186",1.531,1.186
