row_label_raw,row_label_full,Công ty Cổ phần bắt động sản Dầu Khí Việt Nam - SSG,Số cuối năm > 74.426.000.000,Đơn vị tính: VND Số đầu năm > -,numeric__Số cuối năm > 74.426.000.000,numeric__Đơn vị tính: VND Số đầu năm > -
Công ty Cổ phần Dịch Vụ Công Nghệ Tin Học HPT,Công ty Cổ phần Dịch Vụ Công Nghệ Tin Học HPT,Công ty Cổ phần Dịch Vụ Công Nghệ Tin Học HPT,4.181.245.706,-,4181245706.0,
Phải trả tiền mua chứng khoán,Phải trả tiền mua chứng khoán,Phải trả tiền mua chứng khoán,1.423.129.000,830.182.547.000,1423129000.0,830182547000.0
Phải trả người bán khác,Phải trả người bán khác,Phải trả người bán khác,23.045.012.973,32.129.474.006,23045012973.0,32129474006.0
Tổng cộng,Tổng cộng,Tổng cộng,103.075.387.679,862.312.021.006,103075387679.0,862312021006.0
