row_label_raw,row_label_full,col_0,Before restatement,After restatement,numeric__Before restatement,numeric__After restatement
Net profit after tax after deduction for setting up non-shareholder reserves – VND,Net profit after tax after deduction for setting up non-shareholder reserves – VND,Net profit after tax after deduction for setting up non-shareholder reserves – VND,"2,292,781,385,416","2,134,608,899,616",,
Adjustment to profit for diluted EPS – VND,Adjustment to profit for diluted EPS – VND,Adjustment to profit for diluted EPS – VND,-,-,,
Profit after adjustment – VND,Profit after adjustment – VND,Profit after adjustment – VND,"2,292,781,385,416","2,134,608,899,616",,
Number of ordinary shares for calculation of diluted EPS (*),Number of ordinary shares for calculation of diluted EPS (*),Number of ordinary shares for calculation of diluted EPS (*),"1,915,166,610","1,914,760,497",,
Diluted EPS – VND,Number of ordinary shares for calculation of diluted EPS (*) > Diluted EPS – VND,Diluted EPS – VND,"1,197","1,115",1.197,1.115
