row_label_raw,row_label_full,col_0,Unit: Number of Shares,Unit: Number of Shares_1,numeric__Unit: Number of Shares,numeric__Unit: Number of Shares_1
,,,Ending balance,Beginning balance,,
Authorized shares,Authorized shares,Authorized shares,"1,963,863,918","1,501,130,137",,
Issued shares,Issued shares,Issued shares,"1,963,863,918","1,501,130,137",,
Shares issued and fully paid,Shares issued and fully paid,Shares issued and fully paid,"1,963,863,918","1,501,130,137",,
- Ordinary shares,- Ordinary shares,- Ordinary shares,"1,963,863,918","1,501,130,137",,
- Preference shares,- Preference shares,- Preference shares,-,-,,
Treasury shares,Treasury shares,Treasury shares,"(1,991,468)","(1,991,468)",,
Treasury shares held by the Company,Treasury shares held by the Company,Treasury shares held by the Company,"(1,991,468)","(1,991,468)",,
- Ordinary shares,- Ordinary shares,- Ordinary shares,"(1,991,468)","(1,991,468)",,
- Preference shares,- Preference shares,- Preference shares,-,-,,
Outstanding shares,Outstanding shares,Outstanding shares,"1,961,872,450","1,499,138,669",,
- Ordinary shares,- Ordinary shares,- Ordinary shares,"1,961,872,450","1,499,138,669",,
- Preference shares,- Preference shares,- Preference shares,-,-,,
