row_label_raw,row_label_full,Code,ITEMS,Notes,Current year,Previous year (restated),numeric__ITEMS,numeric__Notes,numeric__Current year,numeric__Previous year (restated)
,,,III. FINANCE INCOME,,,,,,,
41,41,41,1. Realized and unrealized gain from changes in foreign exchange rates,,"30,498,178,260","8,171,970,366",,,,
42,42,42,"2. Dividend, interest income from demand deposits",,"36,281,799,525","27,414,204,319",,,,
44,44,44,3. Other investment income,,"112,515,933,616","87,717,734,435",,,,
50,44 > 50,50,Total finance income,36,"179,295,911,401","123,303,909,120",,36.0,,
,,,IV. FINANCE EXPENSES,,,,,,,
51,51,51,1. Realized and unrealized loss from changes in foreign exchange rates,,"28,630,349,944","25,495,038,750",,,,
52,52,52,2. Borrowing costs,,"1,505,764,783,295","1,570,439,043,267",,,,
55,55,55,3. Other finance expense,,"40,529,004,768","41,713,608,024",,,,
60,55 > 60,60,Total finance expenses,37,"1,574,924,138,007","1,637,647,690,041",,37.0,,
62,55 > 62,62,VI. GENERAL AND ADMINISTRATIVE EXPENSES,38,"301,749,636,986","361,707,269,173",,38.0,,
70,70,70,VII. OPERATING PROFIT,,"3,543,940,102,934","2,847,076,233,587",,,,
,,,VIII. OTHER INCOME AND EXPENSES,,,,,,,
71,71,71,Other income,,"2,504,237,662","2,414,205,998",,,,
72,72,72,Other expenses,,"2,916,856,934","923,469,392",,,,
80,72 > 80,80,Total other operating profit,39,"(412,619,272)","1,490,736,606",,39.0,,
90,90,90,IX. PROFIT BEFORE TAX,,"3,543,527,483,662","2,848,566,970,193",,,,
91,91,91,Realized profit,,"3,639,803,446,398","2,779,261,044,973",,,,
92,92,92,Unrealized profit,,"(96,275,962,736)","69,305,925,220",,,,
100,92 > 100,100,X. CORPORATE INCOME TAX (CIT) EXPENSES,40,"698,418,450,990","554,094,148,635",,40.0,,
100.1,92 > 100.1,100.1,Current CIT expenses,40.1,"694,521,335,141","543,354,773,079",,401.0,,
100.2,92 > 100.2,100.2,Deferred CIT expense,40.2,"3,897,115,849","10,739,375,556",,402.0,,
200,200,200,XI. PROFIT AFTER TAX,,"2,845,109,032,672","2,294,472,821,558",,,,
201,201,201,1. Profit after tax attributable to the Parent Company's owners,,"2,835,023,120,364","2,134,608,899,616",,,,
202,202,202,2. Profit after tax attributable to reserves,,,"158,172,485,800",,,,
203,203,203,3. Profit after tax attributable to non-controlling interests,,"10,085,912,308","1,691,436,142",,,,
