row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2024,Quá hạn (Dã bao gồm số dư đã trích lập dự phòng) > Ngày 31 tháng 12 năm 2024,Không kỳ hạn > Ngày 31 tháng 12 năm 2024,Đến 01 năm > Ngày 31 tháng 12 năm 2024,Từ 01 – 05 năm > Ngày 31 tháng 12 năm 2024,Trên 05 năm > Ngày 31 tháng 12 năm 2024,Tổng cộng > Ngày 31 tháng 12 năm 2024,numeric__Quá hạn (Dã bao gồm số dư đã trích lập dự phòng) > Ngày 31 tháng 12 năm 2024,numeric__Không kỳ hạn > Ngày 31 tháng 12 năm 2024,numeric__Đến 01 năm > Ngày 31 tháng 12 năm 2024,numeric__Từ 01 – 05 năm > Ngày 31 tháng 12 năm 2024,numeric__Trên 05 năm > Ngày 31 tháng 12 năm 2024,numeric__Tổng cộng > Ngày 31 tháng 12 năm 2024
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,,208.969.991.625,30.030.246.575,,,239.000.238.200,,208969991625.0,30030246575.0,,,239000238200.0
Tải sản tài chính,TÀI SẢN > Tải sản tài chính,Tải sản tài chính,119.538.853,43.183.738.228.278,25.709.100.176.362,323.581.505.502,1.302.025.163.885,70.518.564.612.880,119538853.0,43183738228278.0,25709100176362.0,323581505502.0,1302025163885.0,70518564612880.0
Tải sản tài chính ghi nhận thông qua lãi/lỗ,TÀI SẢN > Tải sản tài chính ghi nhận thông qua lãi/lỗ,Tải sản tài chính ghi nhận thông qua lãi/lỗ,,42.438.121.481.401,,,,42.438.121.481.401,,42438121481401.0,,,,42438121481401.0
Giữ đến ngày đào hạn,TÀI SẢN > Giữ đến ngày đào hạn,Giữ đến ngày đào hạn,,,3.893.901.724.895,323.581.505.502,614.534.757.754,4.832.017.988.151,,,3893901724895.0,323581505502.0,614534757754.0,4832017988151.0
Các khoản cho vay,TÀI SẢN > Các khoản cho vay,Các khoản cho vay,119.538.853,183.283.895.055,21.815.198.451.467,,,21.998.601.885.375,119538853.0,183283895055.0,21815198451467.0,,,21998601885375.0
Sản sàng để bản,TÀI SẢN > Sản sàng để bản,Sản sàng để bản,,562.332.851.822,,,,562.332.851.822,,562332851822.0,,,,562332851822.0
Góp vốn đầu tư dài hạn,TÀI SẢN > Góp vốn đầu tư dài hạn,Góp vốn đầu tư dài hạn,,,,,687.490.406.131,687.490.406.131,,,,,687490406131.0,687490406131.0
Tải sản khác,TÀI SẢN > Tải sản khác,Tải sản khác,233.107.374.374,954.710.254.006,1.650.000.000,618.974.009.070,200.196.436.698,2.008.638.074.148,233107374374.0,954710254006.0,1650000000.0,618974009070.0,200196436698.0,2008638074148.0
"Các khoản cảm cố, ký quỹ, ký cược","TÀI SẢN > Các khoản cảm cố, ký quỹ, ký cược","Các khoản cảm cố, ký quỹ, ký cược",,31.977.385.712,,,,31.977.385.712,,31977385712.0,,,,31977385712.0
