row_label_raw,row_label_full,col_0,Chỉ số năm 2024,Chỉ số năm 2023,numeric__Chỉ số năm 2024,numeric__Chỉ số năm 2023
Cơ cấu tài sản,Cơ cấu tài sản,Cơ cấu tài sản,Cơ cấu tài sản,Cơ cấu tài sản,,
Tải sản ngắn hạn/Tổng tài sản,Cơ cấu tài sản > Tải sản ngắn hạn/Tổng tài sản,Tải sản ngắn hạn/Tổng tài sản,"96,50%","94,97%",0.965,0.9497
Tải sản dài hạn/Tổng tài sản,Cơ cấu tài sản > Tải sản dài hạn/Tổng tài sản,Tải sản dài hạn/Tổng tài sản,"3,50%","5,03%",0.035,0.050300000000000004
Cơ cấu nguồn vốn,Cơ cấu nguồn vốn,Cơ cấu nguồn vốn,Cơ cấu nguồn vốn,Cơ cấu nguồn vốn,,
Nợ phải trả/Tổng tài sản,Cơ cấu nguồn vốn > Nợ phải trả/Tổng tài sản,Nợ phải trả/Tổng tài sản,"63,50%","66,43%",0.635,0.6643000000000001
Nguồn vốn chủ sở hữu/Tổng tài sản,Cơ cấu nguồn vốn > Nguồn vốn chủ sở hữu/Tổng tài sản,Nguồn vốn chủ sở hữu/Tổng tài sản,"36,50%","33,57%",0.365,0.3357
Tỷ suất lợi nhuận,Tỷ suất lợi nhuận,Tỷ suất lợi nhuận,Tỷ suất lợi nhuận,Tỷ suất lợi nhuận,,
Lợi nhuận sau thuế/Tổng tài sản (ROA),Tỷ suất lợi nhuận > Lợi nhuận sau thuế/Tổng tài sản (ROA),Lợi nhuận sau thuế/Tổng tài sản (ROA),"3,87%","3,31%",0.0387,0.0331
Lợi nhuận sau thuế/Nguồn vốn chủ sở hữu (*) (ROE),Tỷ suất lợi nhuận > Lợi nhuận sau thuế/Nguồn vốn chủ sở hữu (*) (ROE),Lợi nhuận sau thuế/Nguồn vốn chủ sở hữu (*) (ROE),"10,67%","9,93%",0.1067,0.0993
Lợi nhuận sau thuế/Vốn góp của chủ sở hữu,Tỷ suất lợi nhuận > Lợi nhuận sau thuế/Vốn góp của chủ sở hữu,Lợi nhuận sau thuế/Vốn góp của chủ sở hữu,"14,49%","15,28%",0.1449,0.1528
Lợi nhuận sau thuế/Doanh thu thuần,Tỷ suất lợi nhuận > Lợi nhuận sau thuế/Doanh thu thuần,Lợi nhuận sau thuế/Doanh thu thuần,"32,67%","31,51%",0.3267,0.3151
Khả năng thanh toán,Khả năng thanh toán,Khả năng thanh toán,Khả năng thanh toán,Khả năng thanh toán,,
Chỉ số thanh toán hiện hành (Tải sản ngắn hạn/ Nợ ngắn hạn),Khả năng thanh toán > Chỉ số thanh toán hiện hành (Tải sản ngắn hạn/ Nợ ngắn hạn),Chỉ số thanh toán hiện hành (Tải sản ngắn hạn/ Nợ ngắn hạn),"1,52","1,43",1.52,1.43
Chỉ số thanh toán nhanh ([Tiền + Khoản đầu tư tài chính ngắn hạn]/Nợ ngắn hạn),Khả năng thanh toán > Chỉ số thanh toán nhanh ([Tiền + Khoản đầu tư tài chính ngắn hạn]/Nợ ngắn hạn),Chỉ số thanh toán nhanh ([Tiền + Khoản đầu tư tài chính ngắn hạn]/Nợ ngắn hạn),"1,48","1,42",1.48,1.42
