row_label_raw,row_label_full,Thuế giá trị gia tăng,Số cuối năm > 997.499.145,Đơn vị tính: VND Số đầu năm > 328.996.265,numeric__Số cuối năm > 997.499.145,numeric__Đơn vị tính: VND Số đầu năm > 328.996.265
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,134.844.586.449,289.075.048.638,134844586449.0,289075048638.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,57.509.447.511,59.736.381.284,57509447511.0,59736381284.0
Thuế khác (bao gồm thuế nhà thầu),Thuế khác (bao gồm thuế nhà thầu),Thuế khác (bao gồm thuế nhà thầu),7.941.591.390,10.685.832.762,7941591390.0,10685832762.0
Tổng cộng,Tổng cộng,Tổng cộng,201.293.124.495,359.826.258.949,201293124495.0,359826258949.0
