row_label_raw,row_label_full,Các loại tài sảntài chính,Số cuối năm > Giá mua/Giá gốc,Số cuối năm > Chênh lệch dành giá > Chênh lệch tăng,Số cuối năm > Chênh lệch dành giá > Chênh lệch giảm,Số cuối năm > Giá trị dành giả lại,Số đầu năm > Giá mua/Giá gốc,Số đầu năm > Chênh lệch dành giá > Chênh lệch tăng,Số đầu năm > Chênh lệch dành giá > Chênh lệch giảm,Số đầu năm > Giá trị dành giả lại,numeric__Số cuối năm > Giá mua/Giá gốc,numeric__Số cuối năm > Chênh lệch dành giá > Chênh lệch tăng,numeric__Số cuối năm > Chênh lệch dành giá > Chênh lệch giảm,numeric__Số cuối năm > Giá trị dành giả lại,numeric__Số đầu năm > Giá mua/Giá gốc,numeric__Số đầu năm > Chênh lệch dành giá > Chênh lệch tăng,numeric__Số đầu năm > Chênh lệch dành giá > Chênh lệch giảm,numeric__Số đầu năm > Giá trị dành giả lại
FVTPL,FVTPL,FVTPL,42.619.611.622.865,56.638.638.355,(238.128.779.819),42.438.121.481.401,44.176.882.653.760,18.708.722.741,(123.438.201.813),44.072.153.174.688,42619611622865.0,56638638355.0,-238128779819.0,42438121481401.0,44176882653760.0,18708722741.0,-123438201813.0,44072153174688.0
Cổ phiếu vàchủng khoảnniêm yết khác,Cổ phiếu vàchủng khoảnniêm yết khác,Cổ phiếu vàchủng khoảnniêm yết khác,1.613.732.331.633,28.225.058.045,(17.961.510.014),1.623.995.879.664,1.014.775.945.689,3.592.408.983,(11.571.279.866),1.006.797.074.806,1613732331633.0,28225058045.0,-17961510014.0,1623995879664.0,1014775945689.0,3592408983.0,-11571279866.0,1006797074806.0
Cổ phiếu niêmyết cho hoạtđộng phòngngửa rủi ro củachứng quyền,Cổ phiếu niêmyết cho hoạtđộng phòngngửa rủi ro củachứng quyền,Cổ phiếu niêmyết cho hoạtđộng phòngngửa rủi ro củachứng quyền,968.809.795.708,28.385.827.886,(2.698.942.144),994.496.681.450,493.864.555.823,5.048.744.720,(5.219.064.443),493.694.236.100,968809795708.0,28385827886.0,-2698942144.0,994496681450.0,493864555823.0,5048744720.0,-5219064443.0,493694236100.0
Cổ phiếu vàChứng chỉ Quỹchưa niêm yết,Cổ phiếu vàChứng chỉ Quỹchưa niêm yết,Cổ phiếu vàChứng chỉ Quỹchưa niêm yết,70.306.080.610,-,(20.818.797.929),49.487.282.681,263.186.085.662,7.669.708.296,(19.810.683.145),251.045.110.813,70306080610.0,,-20818797929.0,49487282681.0,263186085662.0,7669708296.0,-19810683145.0,251045110813.0
Trải phiếu niêmyết,Trải phiếu niêmyết,Trải phiếu niêmyết,6.188.270.963.139,27.752.424,(196.649.529.732),5.991.649.185.831,1.733.873.492.548,2.397.860.742,(86.837.174.359),1.649.434.178.931,6188270963139.0,27752424.0,-196649529732.0,5991649185831.0,1733873492548.0,2397860742.0,-86837174359.0,1649434178931.0
Trải phiếu churaniêm yết,Trải phiếu churaniêm yết,Trải phiếu churaniêm yết,9.041.780.224.727,-,-,9.041.780.224.727,10.680.989.784.540,-,-,10.680.989.784.540,9041780224727.0,,,9041780224727.0,10680989784540.0,,,10680989784540.0
Chứng chỉ tiềngửi,Chứng chỉ tiềngửi,Chứng chỉ tiềngửi,24.736.712.227.048,-,-,24.736.712.227.048,29.990.192.789.498,-,-,29.990.192.789.498,24736712227048.0,,,24736712227048.0,29990192789498.0,,,29990192789498.0
AFS,AFS,AFS,522.719.754.651,44.354.388.557,(4.741.291.386),562.332.851.822,420.495.130.906,-,(4.741.291.386),415.753.839.520,522719754651.0,44354388557.0,-4741291386.0,562332851822.0,420495130906.0,,-4741291386.0,415753839520.0
Cổ phiếu đăngký giao dịchUPCoM,Cổ phiếu đăngký giao dịchUPCoM,Cổ phiếu đăngký giao dịchUPCoM,71.675.281.043,44.354.388.557,-,116.029.669.600,-,-,-,-,71675281043.0,44354388557.0,,116029669600.0,,,,
Cổ phiếu churaniêm yết,Cổ phiếu churaniêm yết,Cổ phiếu churaniêm yết,342.764.891.142,-,(4.741.291.386),338.023.599.756,383.215.748.440,-,(4.741.291.386),378.474.457.054,342764891142.0,,-4741291386.0,338023599756.0,383215748440.0,,-4741291386.0,378474457054.0
Trải phiếu churaniêm yết,Trải phiếu churaniêm yết,Trải phiếu churaniêm yết,108.279.582.466,-,-,108.279.582.466,37.279.382.466,-,-,37.279.382.466,108279582466.0,,,108279582466.0,37279382466.0,,,37279382466.0
Tổng cộng,Tổng cộng,Tổng cộng,43.142.331.377.516,100.993.026.912,(242.870.071.205),43.000.454.333.223,44.597.377.784.666,18.708.722.741,(128.179.493.199),44.487.907.014.208,43142331377516.0,100993026912.0,-242870071205.0,43000454333223.0,44597377784666.0,18708722741.0,-128179493199.0,44487907014208.0
