row_label_raw,row_label_full,CHÍ TIÊU,Thuyết minh,Số dư đầu năm > Ngày 01 tháng 01 năm 2023 > VND,Số dư đầu năm > Ngày 01 tháng 01 năm 2024 > VND,Số tăng/giảm > Năm trước > Tăng > VND,Số tăng/giảm > Năm trước > Giảm > VND,Số tăng/giảm > Năm nay > Tăng > VND,Số tăng/giảm > Năm nay > Giảm > VND,Số dư cuối năm > Ngày 31 tháng 12 năm 2023 > VND,Số dư cuối năm > Ngày 31 tháng 12 năm 2024 > VND,numeric__Thuyết minh,numeric__Số dư đầu năm > Ngày 01 tháng 01 năm 2023 > VND,numeric__Số dư đầu năm > Ngày 01 tháng 01 năm 2024 > VND,numeric__Số tăng/giảm > Năm trước > Tăng > VND,numeric__Số tăng/giảm > Năm trước > Giảm > VND,numeric__Số tăng/giảm > Năm nay > Tăng > VND,numeric__Số tăng/giảm > Năm nay > Giảm > VND,numeric__Số dư cuối năm > Ngày 31 tháng 12 năm 2023 > VND,numeric__Số dư cuối năm > Ngày 31 tháng 12 năm 2024 > VND
A,A,A,B,1,2,3,4,5,6,7,8,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
I. BIÊN ĐỘNG VÔN CHỦ SỐ HỮU,I. BIÊN ĐỘNG VÔN CHỦ SỐ HỮU,I. BIÊN ĐỘNG VÔN CHỦ SỐ HỮU,,,,,,,,,,,,,,,,,,
1. Vốn đầu tư của chủ sở hữu,I. BIÊN ĐỘNG VÔN CHỦ SỐ HỮU > 1. Vốn đầu tư của chủ sở hữu,1. Vốn đầu tư của chủ sở hữu,29.2,18.191.406.836.235,18.291.394.836.235,100.000.000.000,(12.000.000),5.381.907.145.000,(2.960.236.887.127),18.291.394.836.235,20.713.065.094.108,292.0,18191406836235.0,18291394836235.0,100000000000.0,-12000000.0,5381907145000.0,-2960236887127.0,18291394836235.0,20713065094108.0
1.1.Cổ phiếu phổ thông,I. BIÊN ĐỘNG VÔN CHỦ SỐ HỮU > 1.1.Cổ phiếu phổ thông,1.1.Cổ phiếu phổ thông,29.2,14.911.301.370.000,15.011.301.370.000,100.000.000.000,-,4.627.337.810.000,-,15.011.301.370.000,19.638.639.180.000,292.0,14911301370000.0,15011301370000.0,100000000000.0,,4627337810000.0,,15011301370000.0,19638639180000.0
1.2 Thắng dư vốn cổ phần,I. BIÊN ĐỘNG VÔN CHỦ SỐ HỮU > 1.2 Thắng dư vốn cổ phần,1.2 Thắng dư vốn cổ phần,29.2,3.299.220.472.644,3.299.208.472.644,-,(12.000.000),754.569.335.000,(2.960.236.887.127),3.299.208.472.644,1.093.540.920.517,292.0,3299220472644.0,3299208472644.0,,-12000000.0,754569335000.0,-2960236887127.0,3299208472644.0,1093540920517.0
1.3 Cổ phiếu quỹ,I. BIÊN ĐỘNG VÔN CHỦ SỐ HỮU > 1.3 Cổ phiếu quỹ,1.3 Cổ phiếu quỹ,29.2,(19.115.006.409),(19.115.006.409),-,-,-,-,(19.115.006.409),(19.115.006.409),292.0,-19115006409.0,-19115006409.0,,,,,-19115006409.0,-19115006409.0
2. Quỹ dự trữ bổ sung vốn điều lệ,I. BIÊN ĐỘNG VÔN CHỦ SỐ HỮU > 2. Quỹ dự trữ bổ sung vốn điều lệ,2. Quỹ dự trữ bổ sung vốn điều lệ,29.2,61.252.419.507,61.252.419.507,-,-,-,(58.252.419.507),61.252.419.507,3.000.000.000,292.0,61252419507.0,61252419507.0,,,,-58252419507.0,61252419507.0,3000000000.0
3. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,I. BIÊN ĐỘNG VÔN CHỦ SỐ HỮU > 3. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,3. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,29.2,(6.286.385.840),(3.793.033.106),38.110.659.605,(35.617.306.871),35.483.510.846,-,(3.793.033.106),31.690.477.740,292.0,-6286385840.0,-3793033106.0,38110659605.0,-35617306871.0,35483510846.0,,-3793033106.0,31690477740.0
4. Chênh lệch tỷ giả hối đoái,I. BIÊN ĐỘNG VÔN CHỦ SỐ HỮU > 4. Chênh lệch tỷ giả hối đoái,4. Chênh lệch tỷ giả hối đoái,29.2,44.775.287.721,55.243.155.795,10.467.868.074,-,16.934.434.751,-,55.243.155.795,72.177.590.546,292.0,44775287721.0,55243155795.0,10467868074.0,,16934434751.0,,55243155795.0,72177590546.0
5. Lợi nhuận chưa phân phối,I. BIÊN ĐỘNG VÔN CHỦ SỐ HỮU > 5. Lợi nhuận chưa phân phối,5. Lợi nhuận chưa phân phối,29.1,3.953.892.022.051,4.696.261.511.253,2.590.307.440.461,(1.847.937.951.259),3.506.551.605.398,(2.346.714.800.713),4.696.261.511.253,5.856.098.315.938,291.0,3953892022051.0,4696261511253.0,2590307440461.0,-1847937951259.0,3506551605398.0,-2346714800713.0,4696261511253.0,5856098315938.0
5.1.Lợi nhuận đã thực hiện,I. BIÊN ĐỘNG VÔN CHỦ SỐ HỮU > 5.1.Lợi nhuận đã thực hiện,5.1.Lợi nhuận đã thực hiện,29.1,4.080.124.452.649,4.764.972.942.283,2.237.380.088.847,(1.552.531.599.213),2.939.900.408.631,(1.679.686.501.723),4.764.972.942.283,6.025.186.849.191,291.0,4080124452649.0,4764972942283.0,2237380088847.0,-1552531599213.0,2939900408631.0,-1679686501723.0,4764972942283.0,6025186849191.0
5.2.Lợi nhuận chưa thực hiện,I. BIÊN ĐỘNG VÔN CHỦ SỐ HỮU > 5.2.Lợi nhuận chưa thực hiện,5.2.Lợi nhuận chưa thực hiện,29.1,(126.232.430.598),(68.711.431.030),352.927.351.614,(295.406.352.046),566.651.196.767,(667.028.298.990),(68.711.431.030),(169.088.533.253),291.0,-126232430598.0,-68711431030.0,352927351614.0,-295406352046.0,566651196767.0,-667028298990.0,-68711431030.0,-169088533253.0
6. Lợi ích cổ đông không kiểm soát,I. BIÊN ĐỘNG VÔN CHỦ SỐ HỮU > 6. Lợi ích cổ đông không kiểm soát,6. Lợi ích cổ đông không kiểm soát,29.1,138.841.784.986,140.533.221.129,1.691.436.143,-,10.085.912.307,-,140.533.221.129,150.619.133.436,291.0,138841784986.0,140533221129.0,1691436143.0,,10085912307.0,,140533221129.0,150619133436.0
TỔNG CỘNG,I. BIÊN ĐỘNG VÔN CHỦ SỐ HỮU > TỔNG CỘNG,TỔNG CỘNG,,22.383.881.964.660,23.240.892.110.813,2.740.577.404.283,(1.883.567.258.130),8.950.962.608.302,(5.365.204.107.347),23.240.892.110.813,26.826.650.611.768,,22383881964660.0,23240892110813.0,2740577404283.0,-1883567258130.0,8950962608302.0,-5365204107347.0,23240892110813.0,26826650611768.0
