row_label_raw,row_label_full,Công ty liên quan,Giao dịch,Phải thu/(phải trả),Phải thu/(phải trả)_1,Phải thu/(phải trả)_2,Phải thu/(phải trả)_3,Doanh thu(chỉ phí),numeric__Giao dịch,numeric__Phải thu/(phải trả),numeric__Phải thu/(phải trả)_1,numeric__Phải thu/(phải trả)_2,numeric__Phải thu/(phải trả)_3,numeric__Doanh thu(chỉ phí)
Công ty liên quan,Công ty liên quan,Công ty liên quan,Giao dịch,Ngày 01 tháng 01năm 2024,Tăng trong năm,Giảm trong năm,Ngày 31 tháng 12năm 2024,Doanh thu(chỉ phí),,,,,,
Quỹ Đầu tư Công nghệ số và Y tế Việt Nam,Công ty liên quan > Quỹ Đầu tư Công nghệ số và Y tế Việt Nam,Quỹ Đầu tư Công nghệ số và Y tế Việt Nam,Gộp vốn theo phương pháp vốn chủ sở hữu,10.862.535.409,212.023.811,(37.463.183),11.037.096.037,174.560.628,,10862535409.0,212023811.0,-37463183.0,11037096037.0,174560628.0
Quỹ Đầu tư Công nghệ số và Y tế Việt Nam,Công ty liên quan > Quỹ Đầu tư Công nghệ số và Y tế Việt Nam,Quỹ Đầu tư Công nghệ số và Y tế Việt Nam,Phi quản lý quỹ,273.641.868,1.093.002.710,(1.089.468.931),277.175.647,1.093.002.710,,273641868.0,1093002710.0,-1089468931.0,277175647.0,1093002710.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty liên quan > Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,"Giao dịch bán chứng khoán, chứng chỉ tiền gửi",-,34.099.533.898.521,(34.099.533.898.521),-,76.267.253.756,,,34099533898521.0,-34099533898521.0,,76267253756.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty liên quan > Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Doanh thu hợp đồng tư vấn,-,165.000.000,(165.000.000),-,150.000.000,,,165000000.0,-165000000.0,,150000000.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty liên quan > Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Ứng trước hợp đồng tư vấn,(100.000.000),100.000.000,-,-,90.909.091,,-100000000.0,100000000.0,,,90909091.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty liên quan > Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Nhận hợp đồng quản lý tiền gửi và khác,(265.687.615.517),-,265.687.615.517,-,-,,-265687615517.0,,265687615517.0,,
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty liên quan > Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Lãi hợp đồng quản lý tiền gửi phải trả và khác,(4.011.664.815),(759.623.107),4.771.287.922,-,(759.623.107),,-4011664815.0,-759623107.0,4771287922.0,,-759623107.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty liên quan > Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Chi phí mua hàng hóa dịch vụ,(281.594),(153.580.136),153.861.730,-,(153.580.136),,-281594.0,-153580136.0,153861730.0,,-153580136.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty liên quan > Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,"Giao dịch mua chứng khoán, chứng chỉ tiền gửi",-,(32.011.070.781.303),32.011.070.781.303,-,-,,,-32011070781303.0,32011070781303.0,,
