row_label_raw,row_label_full,col_0,Ending balance,Currency: VNDOpening balance,numeric__Ending balance,numeric__Currency: VNDOpening balance
Advances,Advances,Advances,"20,927,597,892","18,625,123,377",,
"Office supplies, tools and materials","Office supplies, tools and materials","Office supplies, tools and materials","595,758,696","1,451,468,687",,
Short-term prepaid expenses,Short-term prepaid expenses,Short-term prepaid expenses,"54,860,667,972","63,304,503,778",,
- Prepayment for office tools,- Prepayment for office tools,- Prepayment for office tools,"94,560,412","1,125,098,215",,
- Prepayment for services,- Prepayment for services,- Prepayment for services,"54,766,107,560","62,179,405,563",,
"Short-term deposits, collaterals and pledges","Short-term deposits, collaterals and pledges","Short-term deposits, collaterals and pledges","772,112,130","244,890,400",,
Taxation and Statutory receivables (Note 24),Taxation and Statutory receivables (Note 24),Taxation and Statutory receivables (Note 24),"55,944,865",-,,
Other current assets,Other current assets,Other current assets,"41,677,606,234","12,393,462,568",,
- Escrow deposits for derivatives trading of the Company,- Escrow deposits for derivatives trading of the Company,- Escrow deposits for derivatives trading of the Company,"40,692,735,334","11,420,466,668",,
- Others,- Others,- Others,"984,870,900","972,995,900",,
Total,Total,Total,"118,889,687,789","96,019,448,810",,
